,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,genres
Eraser,/title/tt0116213/?ref_=bo_cso_table_130,730,Eraser,"$101,295,562",1996,24566446,245000000,101295562,141000000,242295562,115.0,R,June,"['Action', 'Drama', 'Thriller']"
Noah,/title/tt1959490/?ref_=bo_cso_table_131,731,Noah,"$101,200,044",2014,43720472,245000000,101200044,258000000,359200044,138.0,PG-13,March,"['Action', 'Adventure', 'Drama']"
Unforgiven,/title/tt0105695/?ref_=bo_cso_table_132,732,Unforgiven,"$101,157,447",1992,15018007,245000000,101157447,58000000,159157447,130.0,R,August,"['Drama', 'Western']"
The Cat in the Hat,/title/tt0312528/?ref_=bo_cso_table_133,733,The Cat in the Hat,"$101,149,285",2003,38329160,245000000,101149285,32811256,133960541,82.0,PG,November,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Con Air,/title/tt0118880/?ref_=bo_cso_table_134,734,Con Air,"$101,117,573",1997,24131738,245000000,101117573,122894661,224012234,115.0,R,June,"['Action', 'Crime', 'Thriller']"
Sleepy Hollow,/title/tt0162661/?ref_=bo_cso_table_135,735,Sleepy Hollow,"$101,071,502",1999,30060467,245000000,101071502,105000000,206071502,105.0,R,November,"['Fantasy', 'Horror', 'Mystery']"
Rampage,/title/tt2231461/?ref_=bo_cso_table_136,736,Rampage,"$101,028,233",2018,35753093,245000000,101028233,327000000,428028233,107.0,PG-13,April,"['Action', 'Adventure', 'Sci-Fi']"
Collateral,/title/tt0369339/?ref_=bo_cso_table_137,737,Collateral,"$101,005,703",2004,24701458,245000000,101005703,119920992,220926695,,R,August,"['Crime', 'Drama', 'Thriller']"
Contact,/title/tt0118884/?ref_=bo_cso_table_138,738,Contact,"$100,920,329",1997,20584908,245000000,100920329,70200000,171120329,150.0,PG,July,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Charlie's Angels: Full Throttle,/title/tt0305357/?ref_=bo_cso_table_139,739,Charlie's Angels: Full Throttle,"$100,830,111",2003,37634221,245000000,100830111,158345677,259175788,106.0,PG-13,June,"['Action', 'Adventure', 'Comedy', 'Crime']"
The Pelican Brief,/title/tt0107798/?ref_=bo_cso_table_140,740,The Pelican Brief,"$100,768,056",1993,16864404,245000000,100768056,94500000,195268056,141.0,PG-13,December,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Vanilla Sky,/title/tt0259711/?ref_=bo_cso_table_142,742,Vanilla Sky,"$100,618,344",2001,25015518,245000000,100618344,102769997,203388341,136.0,R,December,"['Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']"
Arrival,/title/tt2543164/?ref_=bo_cso_table_143,743,Arrival,"$100,546,139",2016,24074047,245000000,100546139,102842047,203388186,116.0,PG-13,November,"['Drama', 'Sci-Fi']"
Due Date,/title/tt1231583/?ref_=bo_cso_table_144,744,Due Date,"$100,539,043",2010,32689406,245000000,100539043,111241781,211780824,95.0,R,November,"['Comedy', 'Drama']"
Jumanji,/title/tt0113497/?ref_=bo_cso_table_145,745,Jumanji,"$100,499,940",1995,11084370,245000000,100499940,162322000,262797249,104.0,PG,December,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
The Rugrats Movie,/title/tt0134067/?ref_=bo_cso_table_146,746,The Rugrats Movie,"$100,494,675",1998,27321470,245000000,100494675,40400000,140894675,79.0,,November,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Musical']"
Million Dollar Baby,/title/tt0405159/?ref_=bo_cso_table_147,747,Million Dollar Baby,"$100,492,203",2004,179953,245000000,100492203,116271443,216763646,132.0,PG-13,December,"['Drama', 'Sport']"
Airport,/title/tt0065377/?ref_=bo_cso_table_148,748,Airport,"$100,489,151",1970,10000000,245000000,100489151,100489151,0,137.0,,March,"['Action', 'Drama', 'Thriller']"
A Wrinkle in Time,/title/tt1620680/?ref_=bo_cso_table_149,749,A Wrinkle in Time,"$100,478,608",2018,33123609,245000000,100478608,32197256,132675864,109.0,PG,March,"['Adventure', 'Family', 'Fantasy', 'Sci-Fi']"
Step Brothers,/title/tt0838283/?ref_=bo_cso_table_150,750,Step Brothers,"$100,468,793",2008,30940732,245000000,100468793,27639418,128108211,98.0,R,July,['Comedy']
Evan Almighty,/title/tt0413099/?ref_=bo_cso_table_151,751,Evan Almighty,"$100,462,298",2007,31192615,245000000,100462298,73978426,174440724,96.0,PG,June,"['Comedy', 'Family', 'Fantasy']"
Fifty Shades Freed,/title/tt4477536/?ref_=bo_cso_table_152,752,Fifty Shades Freed,"$100,407,760",2018,38560195,245000000,100407760,271577258,371985018,105.0,R,February,"['Drama', 'Romance', 'Thriller']"
Casper,/title/tt0112642/?ref_=bo_cso_table_153,753,Casper,"$100,328,194",1995,16840385,245000000,100328194,187600000,287928194,100.0,PG,May,"['Comedy', 'Family', 'Fantasy']"
Shakespeare in Love,/title/tt0138097/?ref_=bo_cso_table_154,754,Shakespeare in Love,"$100,317,794",1998,224012,245000000,100317794,189000000,289317794,123.0,R,December,"['Comedy', 'Drama', 'History', 'Romance']"
Bad Teacher,/title/tt1284575/?ref_=bo_cso_table_155,755,Bad Teacher,"$100,292,856",2011,31603106,245000000,100292856,115904636,216197492,92.0,R,June,"['Comedy', 'Romance']"
Yogi Bear,/title/tt1302067/?ref_=bo_cso_table_156,756,Yogi Bear,"$100,246,011",2010,16411322,245000000,100246011,103263363,203509374,81.0,PG,December,"['Adventure', 'Animation', 'Comedy', 'Family']"
Cowboys & Aliens,/title/tt0409847/?ref_=bo_cso_table_157,757,Cowboys & Aliens,"$100,240,551",2011,36431290,245000000,100240551,74581774,174822325,119.0,PG-13,July,"['Action', 'Sci-Fi', 'Thriller', 'Western']"
Kingsman: The Golden Circle,/title/tt4649466/?ref_=bo_cso_table_158,758,Kingsman: The Golden Circle,"$100,234,838",2017,39023010,245000000,100234838,310667824,410902662,141.0,R,September,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']"
Edge of Tomorrow,/title/tt1631867/?ref_=bo_cso_table_159,759,Edge of Tomorrow,"$100,206,256",2014,28760246,245000000,100206256,270335000,370541256,113.0,PG-13,May,"['Action', 'Adventure', 'Sci-Fi']"
The Hunchback of Notre Dame,/title/tt0116583/?ref_=bo_cso_table_160,760,The Hunchback of Notre Dame,"$100,138,851",1996,21037414,245000000,100138851,225200000,325338851,91.0,,June,"['Animation', 'Drama', 'Family', 'Musical', 'Romance']"
Se7en,/title/tt0114369/?ref_=bo_cso_table_161,761,Se7en,"$100,125,643",1995,13949807,245000000,100125643,227207916,327333559,127.0,R,September,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Parenthood,/title/tt0098067/?ref_=bo_cso_table_162,762,Parenthood,"$100,047,830",1989,10506450,245000000,100047830,26250000,126297830,124.0,,August,"['Comedy', 'Drama']"
You Don't Mess with the Zohan,/title/tt0960144/?ref_=bo_cso_table_163,763,You Don't Mess with the Zohan,"$100,018,837",2008,38531374,245000000,100018837,104294563,204313400,113.0,PG-13,June,['Comedy']
Passengers,/title/tt1355644/?ref_=bo_cso_table_164,764,Passengers,"$100,014,699",2016,14869736,245000000,100014699,203129453,303144152,116.0,PG-13,December,"['Drama', 'Romance', 'Sci-Fi', 'Thriller']"
Die Hard with a Vengeance,/title/tt0112864/?ref_=bo_cso_table_165,765,Die Hard with a Vengeance,"$100,012,499",1995,22162245,245000000,100012499,266089167,366101666,128.0,R,May,"['Action', 'Adventure', 'Thriller']"
Gnomeo & Juliet,/title/tt0377981/?ref_=bo_cso_table_166,766,Gnomeo & Juliet,"$99,967,670",2011,25356909,245000000,99967670,94000000,193967670,84.0,,February,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']"
Christopher Robin,/title/tt4575576/?ref_=bo_cso_table_167,767,Christopher Robin,"$99,215,042",2018,24585139,245000000,99215042,98529335,197744377,104.0,PG,August,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
Hercules,/title/tt0119282/?ref_=bo_cso_table_168,768,Hercules,"$99,112,101",1997,249567,245000000,99112101,153600000,252712101,93.0,,June,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']"
Olympus Has Fallen,/title/tt2302755/?ref_=bo_cso_table_169,769,Olympus Has Fallen,"$98,925,640",2013,30373794,245000000,98925640,71344561,170270201,119.0,R,March,"['Action', 'Thriller']"
The Green Hornet,/title/tt0990407/?ref_=bo_cso_table_170,770,The Green Hornet,"$98,780,042",2011,33526876,245000000,98780042,129037206,227817248,119.0,PG-13,January,"['Action', 'Comedy', 'Crime']"
Date Night,/title/tt1279935/?ref_=bo_cso_table_171,771,Date Night,"$98,711,404",2010,25207599,245000000,98711404,53552476,152263880,88.0,PG-13,April,"['Comedy', 'Crime', 'Romance', 'Thriller']"
The Color Purple,/title/tt0088939/?ref_=bo_cso_table_172,772,The Color Purple,"$98,467,863",1985,1710333,245000000,98467863,98467863,0,154.0,,December,['Drama']
Meet the Robinsons,/title/tt0396555/?ref_=bo_cso_table_173,773,Meet the Robinsons,"$97,822,171",2007,25123781,245000000,97822171,71510863,169333034,95.0,G,March,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']"
Yes Man,/title/tt1068680/?ref_=bo_cso_table_174,774,Yes Man,"$97,690,976",2008,18262471,245000000,97690976,125550661,223241637,104.0,PG-13,December,"['Comedy', 'Romance']"
Sausage Party,/title/tt1700841/?ref_=bo_cso_table_175,775,Sausage Party,"$97,685,686",2016,34263534,245000000,97685686,43019636,140705322,89.0,R,August,"['Adventure', 'Animation', 'Comedy', 'Fantasy']"
Inspector Gadget,/title/tt0141369/?ref_=bo_cso_table_176,776,Inspector Gadget,"$97,403,112",1999,21889138,245000000,97403112,37000000,134403112,78.0,PG,July,"['Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Sci-Fi']"
Public Enemies,/title/tt1152836/?ref_=bo_cso_table_177,777,Public Enemies,"$97,104,620",2009,25271675,245000000,97104620,117000000,214104620,140.0,R,June,"['Biography', 'Crime', 'Drama', 'History']"
The Social Network,/title/tt1285016/?ref_=bo_cso_table_178,778,The Social Network,"$96,962,694",2010,22445653,245000000,96962694,127957681,224920375,,PG-13,October,"['Biography', 'Drama']"
Schindler's List,/title/tt0108052/?ref_=bo_cso_table_179,779,Schindler's List,"$96,898,818",1993,656636,245000000,96898818,225262427,322161245,195.0,R,December,"['Biography', 'Drama', 'History']"
Downton Abbey,/title/tt6398184/?ref_=bo_cso_table_180,780,Downton Abbey,"$96,854,135",2019,31033665,245000000,96854135,96966620,237860050,122.0,PG,September,"['Drama', 'Romance']"
The Others,/title/tt0230600/?ref_=bo_cso_table_181,781,The Others,"$96,522,687",2001,14089952,245000000,96522687,113424350,209947037,101.0,PG-13,August,"['Horror', 'Mystery', 'Thriller']"
Legally Blonde,/title/tt0250494/?ref_=bo_cso_table_182,782,Legally Blonde,"$96,520,674",2001,20377426,245000000,96520674,45254005,141774679,96.0,,July,"['Comedy', 'Romance']"
Panic Room,/title/tt0258000/?ref_=bo_cso_table_183,783,Panic Room,"$96,397,334",2002,30056751,245000000,96397334,100682212,197079546,112.0,R,March,"['Crime', 'Drama', 'Thriller']"
Rocketman,/title/tt2066051/?ref_=bo_cso_table_184,784,Rocketman,"$96,368,160",2019,25725722,245000000,96368160,98811139,195179299,121.0,R,May,"['Biography', 'Drama', 'Music', 'Musical']"
Dead Poets Society,/title/tt0097165/?ref_=bo_cso_table_185,785,Dead Poets Society,"$95,860,116",1989,340456,245000000,95860116,140000000,235860116,128.0,,June,"['Comedy', 'Drama']"
Zero Dark Thirty,/title/tt1790885/?ref_=bo_cso_table_186,786,Zero Dark Thirty,"$95,720,716",2012,417150,245000000,95720716,37100000,132820716,157.0,R,December,"['Drama', 'History', 'Thriller', 'War']"
Norbit,/title/tt0477051/?ref_=bo_cso_table_187,787,Norbit,"$95,673,607",2007,34195434,245000000,95673607,64140883,159814490,103.0,PG-13,February,"['Comedy', 'Romance']"
Cold Mountain,/title/tt0159365/?ref_=bo_cso_table_188,788,Cold Mountain,"$95,636,509",2003,14500000,245000000,95636509,77377000,173013509,154.0,R,December,"['Adventure', 'Drama', 'History', 'Romance', 'War']"
Arthur,/title/tt0082031/?ref_=bo_cso_table_189,789,Arthur,"$95,461,682",1981,2719534,245000000,95461682,95461682,0,97.0,,July,"['Comedy', 'Romance']"
Sex and the City 2,/title/tt1261945/?ref_=bo_cso_table_190,790,Sex and the City 2,"$95,347,692",2010,31001870,245000000,95347692,195397363,290745055,146.0,R,May,"['Comedy', 'Drama', 'Romance']"
Michael,/title/tt0117038/?ref_=bo_cso_table_191,791,Michael,"$95,318,203",1996,17435711,245000000,95318203,24400000,119718203,105.0,PG,December,"['Comedy', 'Drama', 'Fantasy']"
The Princess Diaries 2: Royal Engagement,/title/tt0368933/?ref_=bo_cso_table_192,792,The Princess Diaries 2: Royal Engagement,"$95,170,481",2004,22956453,245000000,95170481,39564000,134734481,113.0,,August,"['Comedy', 'Family', 'Romance']"
42,/title/tt0453562/?ref_=bo_cso_table_193,793,42,"$95,020,213",2013,27487144,245000000,95020213,2450488,97470701,128.0,PG-13,April,"['Biography', 'Drama', 'Sport']"
Unbreakable,/title/tt0217869/?ref_=bo_cso_table_194,794,Unbreakable,"$95,011,339",2000,30330771,245000000,95011339,153106782,248118121,106.0,PG-13,November,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
The Book of Eli,/title/tt1037705/?ref_=bo_cso_table_195,795,The Book of Eli,"$94,835,059",2010,32789494,245000000,94835059,62272696,157107755,118.0,R,January,"['Action', 'Adventure', 'Drama', 'Thriller']"
"10,000 BC",/title/tt0443649/?ref_=bo_cso_table_196,796,"10,000 BC","$94,784,201",2008,35867488,245000000,94784201,175000000,269784201,109.0,PG-13,March,"['Action', 'Adventure', 'Drama', 'Fantasy', 'History']"
Beverly Hills Chihuahua,/title/tt1014775/?ref_=bo_cso_table_197,797,Beverly Hills Chihuahua,"$94,514,402",2008,29300465,245000000,94514402,54778086,149292488,91.0,PG,September,"['Adventure', 'Comedy', 'Drama', 'Family', 'Romance']"
Saturday Night Fever,/title/tt0076666/?ref_=bo_cso_table_198,798,Saturday Night Fever,"$94,213,184",1977,3878099,245000000,94213184,142900000,237113184,118.0,R,December,"['Drama', 'Music']"
Julie & Julia,/title/tt1135503/?ref_=bo_cso_table_199,799,Julie & Julia,"$94,125,426",2009,20027956,245000000,94125426,35415096,129540522,123.0,PG-13,August,"['Biography', 'Drama', 'Romance']"
The Mask of Zorro,/title/tt0120746/?ref_=bo_cso_table_200,800,The Mask of Zorro,"$94,095,523",1998,22525855,245000000,94095523,156193000,250288523,136.0,PG-13,July,"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller', 'Western']"
