,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,genres
Fun with Dick and Jane,/title/tt0369441/?ref_=bo_cso_table_36,636,Fun with Dick and Jane,"$110,332,737",2005,14383515,245000000,110332737,94349162,204681899,90.0,PG-13,December,"['Comedy', 'Crime']"
Freaky Friday,/title/tt0322330/?ref_=bo_cso_table_37,637,Freaky Friday,"$110,230,332",2003,22203007,245000000,110230332,50616000,160846332,97.0,PG,August,"['Comedy', 'Family', 'Fantasy', 'Music', 'Romance']"
Trainwreck,/title/tt3152624/?ref_=bo_cso_table_38,638,Trainwreck,"$110,212,700",2015,30097040,245000000,110212700,30583093,140795793,125.0,R,July,"['Comedy', 'Drama', 'Romance']"
Bedtime Stories,/title/tt0960731/?ref_=bo_cso_table_39,639,Bedtime Stories,"$110,101,975",2008,27450296,245000000,110101975,102772889,212874864,99.0,PG,December,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance', 'Sci-Fi']"
Scary Movie 3,/title/tt0306047/?ref_=bo_cso_table_40,640,Scary Movie 3,"$110,003,217",2003,49700000,245000000,110003217,110670000,220673217,84.0,PG-13,October,"['Comedy', 'Horror']"
Creed,/title/tt3076658/?ref_=bo_cso_table_41,641,Creed,"$109,767,581",2015,29632823,245000000,109767581,63800000,173567581,133.0,PG-13,November,"['Drama', 'Sport']"
Star Trek IV: The Voyage Home,/title/tt0092007/?ref_=bo_cso_table_42,642,Star Trek IV: The Voyage Home,"$109,713,132",1986,16881888,245000000,109713132,109713132,0,119.0,PG,November,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
The 40-Year-Old Virgin,/title/tt0405422/?ref_=bo_cso_table_43,643,The 40-Year-Old Virgin,"$109,449,237",2005,21422815,245000000,109449237,67929408,177378645,116.0,R,August,"['Comedy', 'Romance']"
Crocodile Dundee II,/title/tt0092493/?ref_=bo_cso_table_44,644,Crocodile Dundee II,"$109,306,210",1988,24462976,245000000,109306210,130300000,239606210,108.0,,May,"['Action', 'Adventure', 'Comedy']"
Couples Retreat,/title/tt1078940/?ref_=bo_cso_table_45,645,Couples Retreat,"$109,204,945",2009,34286740,245000000,109204945,62639895,171844840,113.0,PG-13,October,['Comedy']
