,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,release_date,genres
The Fast and the Furious,/title/tt0232500/?ref_=bo_cso_table_1,401,The Fast and the Furious,"$144,533,925",2001,40089015,38000000,144533925,62767742,207301667,106.0,PG-13,6,2001-06-22,"['Action', 'Crime', 'Thriller']"
Mamma Mia!,/title/tt0795421/?ref_=bo_cso_table_2,402,Mamma Mia!,"$144,169,664",2008,27751240,52000000,144169664,465745071,609914735,108.0,PG-13,6,2008-06-27,"['Comedy', 'Musical', 'Romance']"
Doctor Dolittle,/title/tt0118998/?ref_=bo_cso_table_3,403,Doctor Dolittle,"$144,156,605",1998,29014324,0,144156605,150300000,294456605,85.0,PG-13,6,1998-06-26,"['Comedy', 'Family', 'Fantasy']"
Pokémon Detective Pikachu,/title/tt5884052/?ref_=bo_cso_table_4,404,Pokémon Detective Pikachu,"$144,105,346",2019,54365242,150000000,144105346,288900000,433005346,104.0,PG,5,2019-05-03,"['Action', 'Adventure', 'Comedy', 'Family', 'Mystery', 'Sci-Fi']"
Rio,/title/tt1436562/?ref_=bo_cso_table_5,405,Rio,"$143,619,809",2011,39225962,90000000,143619809,340246709,483866518,96.0,PG,4,2011-04-04,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Musical']"
Kung Fu Panda 3,/title/tt2267968/?ref_=bo_cso_table_6,406,Kung Fu Panda 3,"$143,528,619",2016,41282042,145000000,143528619,377642206,521170825,95.0,PG,1,2016-01-28,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Juno,/title/tt0467406/?ref_=bo_cso_table_7,407,Juno,"$143,495,265",2007,413869,7500000,143495265,88877416,232372681,96.0,PG-13,12,2007-12-05,"['Comedy', 'Drama']"
Marley & Me,/title/tt0822832/?ref_=bo_cso_table_8,408,Marley & Me,"$143,153,751",2008,36357586,0,143153751,112589342,255743093,111.0,PG,12,2008-12-24,"['Comedy', 'Drama', 'Family']"
The Smurfs,/title/tt0472181/?ref_=bo_cso_table_9,409,The Smurfs,"$142,614,158",2011,35611637,110000000,142614158,421135165,563749323,103.0,PG,7,2011-07-27,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Once Upon a Time... In Hollywood,/title/tt7131622/?ref_=bo_cso_table_10,410,Once Upon a Time... In Hollywood,"$142,502,728",2019,41082018,90000000,142502728,231840898,374343626,161.0,R,7,2019-07-25,"['Comedy', 'Drama']"
xXx,/title/tt0295701/?ref_=bo_cso_table_11,411,xXx,"$142,109,382",2002,44506103,70000000,142109382,135339000,277448382,124.0,PG-13,8,2002-08-09,"['Action', 'Adventure', 'Thriller']"
The Jungle Book,/title/tt0061852/?ref_=bo_cso_table_12,412,The Jungle Book,"$141,843,612",1967,0,0,141843612,64000000,205843612,78.0,G,10,1967-10-18,"['Adventure', 'Animation', 'Family', 'Musical']"
The Chronicles of Narnia: Prince Caspian,/title/tt0499448/?ref_=bo_cso_table_13,413,The Chronicles of Narnia: Prince Caspian,"$141,621,490",2008,55034805,225000000,141621490,278044078,419665568,150.0,PG,5,2008-05-15,"['Action', 'Adventure', 'Family', 'Fantasy']"
National Lampoon's Animal House,/title/tt0077975/?ref_=bo_cso_table_14,414,National Lampoon's Animal House,"$141,600,000",1978,276538,0,141600000,141600000,0,109.0,,7,1978-07-28,['Comedy']
Pocahontas,/title/tt0114148/?ref_=bo_cso_table_15,415,Pocahontas,"$141,579,773",1995,2689714,0,141579773,204500000,346079773,81.0,G,6,1995-06-16,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical', 'Romance']"
A Few Good Men,/title/tt0104257/?ref_=bo_cso_table_16,416,A Few Good Men,"$141,340,178",1992,15517468,41000000,141340178,101900000,243240178,138.0,R,12,1992-12-11,"['Drama', 'Thriller']"
Slumdog Millionaire,/title/tt1010048/?ref_=bo_cso_table_17,417,Slumdog Millionaire,"$141,319,928",2008,360018,15000000,141319928,237090185,378410113,,R,11,2008-11-12,"['Drama', 'Romance']"
Rush Hour,/title/tt0120812/?ref_=bo_cso_table_18,418,Rush Hour,"$141,186,864",1998,33001803,33000000,141186864,103534200,244721064,98.0,PG-13,9,1998-09-18,"['Action', 'Comedy', 'Crime', 'Thriller']"
The Blair Witch Project,/title/tt0185937/?ref_=bo_cso_table_19,419,The Blair Witch Project,"$140,539,099",1999,1512054,60000,140539099,108100000,248639099,81.0,R,7,1999-07-16,"['Horror', 'Mystery']"
Deep Impact,/title/tt0120647/?ref_=bo_cso_table_20,420,Deep Impact,"$140,464,664",1998,41152375,0,140464664,209000000,334515982,,PG-13,5,1998-05-08,"['Action', 'Drama', 'Romance', 'Sci-Fi', 'Thriller']"
Shazam!,/title/tt0448115/?ref_=bo_cso_table_21,421,Shazam!,"$140,371,656",2019,53505326,100000000,140371656,225600000,365971656,132.0,PG-13,4,2019-04-03,"['Action', 'Adventure', 'Comedy', 'Fantasy']"
Ocean's Eight,/title/tt5164214/?ref_=bo_cso_table_22,422,Ocean's Eight,"$140,218,711",2018,41607378,70000000,140218711,157500000,297718711,110.0,PG-13,6,2018-06-07,"['Action', 'Comedy', 'Crime', 'Thriller']"
Rush Hour 3,/title/tt0293564/?ref_=bo_cso_table_23,423,Rush Hour 3,"$140,125,968",2007,50237000,140000000,140125968,117971154,258097122,91.0,PG-13,8,2007-08-08,"['Action', 'Comedy', 'Crime', 'Thriller']"
