,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,release_date,genres
Look Who's Talking,/title/tt0097778/?ref_=bo_cso_table_24,424,Look Who's Talking,"$140,088,813",1989,12107784,0,140088813,156911000,296999813,93.0,,10,1989-10-13,['Comedy']
Stuart Little,/title/tt0164912/?ref_=bo_cso_table_25,425,Stuart Little,"$140,035,367",1999,15018223,133000000,140035367,160100000,300135367,84.0,PG,12,1999-12-17,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Taken 2,/title/tt1397280/?ref_=bo_cso_table_26,426,Taken 2,"$139,854,287",2012,49514769,45000000,139854287,236298168,376152455,92.0,PG-13,9,2012-09-27,"['Action', 'Thriller']"
Sister Act,/title/tt0105417/?ref_=bo_cso_table_27,427,Sister Act,"$139,605,150",1992,11894587,0,139605150,92000000,231605150,100.0,PG,5,1992-05-29,"['Comedy', 'Crime', 'Family', 'Music']"
The Matrix Revolutions,/title/tt0242653/?ref_=bo_cso_table_28,428,The Matrix Revolutions,"$139,313,948",2003,48475154,150000000,139313948,288030377,427344325,129.0,R,11,2003-11-05,"['Action', 'Sci-Fi']"
The Santa Clause 2,/title/tt0304669/?ref_=bo_cso_table_29,429,The Santa Clause 2,"$139,236,327",2002,29008696,65000000,139236327,33618738,172855065,104.0,,11,2002-11-01,"['Comedy', 'Family', 'Fantasy']"
The King's Speech,/title/tt1504320/?ref_=bo_cso_table_30,430,The King's Speech,"$138,797,449",2010,355450,15000000,138797449,288576868,427374317,118.0,R,11,2010-11-26,"['Biography', 'Drama', 'History']"
Cheaper by the Dozen,/title/tt0349205/?ref_=bo_cso_table_31,431,Cheaper by the Dozen,"$138,614,544",2003,27557647,40000000,138614544,51924086,190538630,98.0,PG,12,2003-12-25,"['Comedy', 'Family']"
Bad Boys II,/title/tt0172156/?ref_=bo_cso_table_32,432,Bad Boys II,"$138,608,444",2003,46522560,130000000,138608444,134731112,273339556,147.0,R,7,2003-07-18,"['Action', 'Comedy', 'Crime', 'Thriller']"
Platoon,/title/tt0091763/?ref_=bo_cso_table_33,433,Platoon,"$138,530,565",1986,241080,6000000,138530565,15067,138545632,,,12,1986-12-19,"['Drama', 'War']"
21 Jump Street,/title/tt1232829/?ref_=bo_cso_table_34,434,21 Jump Street,"$138,447,667",2012,36302612,42000000,138447667,63137661,201585328,109.0,R,3,2012-03-15,"['Action', 'Comedy', 'Crime']"
Good Will Hunting,/title/tt0119217/?ref_=bo_cso_table_35,435,Good Will Hunting,"$138,433,435",1997,272912,0,138433435,87500000,225933435,126.0,R,12,1997-12-05,"['Drama', 'Romance']"
Split,/title/tt4972582/?ref_=bo_cso_table_36,436,Split,"$138,291,365",2017,40010975,9000000,138291365,140163052,278454417,117.0,PG-13,1,2017-01-18,"['Horror', 'Thriller']"
A Christmas Carol,/title/tt1067106/?ref_=bo_cso_table_37,437,A Christmas Carol,"$137,855,863",2009,30051075,200000000,137855863,187430783,325286646,96.0,PG,9,2009-09-09,"['Animation', 'Drama', 'Family', 'Fantasy']"
Dinosaur,/title/tt0130623/?ref_=bo_cso_table_38,438,Dinosaur,"$137,748,063",2000,38854851,127500000,137748063,212074702,349822765,82.0,PG,5,2000-05-19,"['Adventure', 'Animation', 'Family', 'Thriller']"
Ready Player One,/title/tt1677720/?ref_=bo_cso_table_39,439,Ready Player One,"$137,690,172",2018,41764050,175000000,137690172,445203499,582893671,140.0,PG-13,3,2018-03-28,"['Action', 'Adventure', 'Sci-Fi']"
The Conjuring,/title/tt1457767/?ref_=bo_cso_table_40,440,The Conjuring,"$137,400,141",2013,41855326,20000000,137400141,182113719,319513860,112.0,R,7,2013-07-18,"['Horror', 'Mystery', 'Thriller']"
Click,/title/tt0389860/?ref_=bo_cso_table_41,441,Click,"$137,355,633",2006,40011365,82500000,137355633,103329693,240685326,107.0,PG-13,6,2006-06-22,"['Comedy', 'Drama', 'Fantasy', 'Romance']"
The Green Mile,/title/tt0120689/?ref_=bo_cso_table_42,442,The Green Mile,"$136,801,374",1999,18017152,60000000,136801374,150000000,286801374,189.0,R,12,1999-12-10,"['Crime', 'Drama', 'Fantasy', 'Mystery']"
Ransom,/title/tt0117438/?ref_=bo_cso_table_43,443,Ransom,"$136,492,681",1996,34216088,0,136492681,173000000,309492681,121.0,R,11,1996-11-08,"['Action', 'Crime', 'Thriller']"
Godzilla,/title/tt0120685/?ref_=bo_cso_table_44,444,Godzilla,"$136,314,294",1998,44047541,130000000,136314294,242700000,379014294,139.0,PG-13,5,1998-05-20,"['Action', 'Sci-Fi', 'Thriller']"
101 Dalmatians,/title/tt0115433/?ref_=bo_cso_table_45,445,101 Dalmatians,"$136,189,294",1996,33504025,0,136189294,184500000,320689294,103.0,,11,1996-11-27,"['Adventure', 'Comedy', 'Crime', 'Family']"
Argo,/title/tt1024648/?ref_=bo_cso_table_46,446,Argo,"$136,025,503",2012,19458109,44500000,136025503,96300000,232325503,,R,10,2012-10-11,"['Biography', 'Drama', 'Thriller']"
Anger Management,/title/tt0305224/?ref_=bo_cso_table_47,447,Anger Management,"$135,645,823",2003,42220847,75000000,135645823,60100000,195745823,106.0,PG-13,4,2003-04-11,['Comedy']
Chicken Little,/title/tt0371606/?ref_=bo_cso_table_48,448,Chicken Little,"$135,386,665",2005,40049778,150000000,135386665,179046172,314432837,81.0,G,11,2005-11-04,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Teenage Mutant Ninja Turtles,/title/tt0100758/?ref_=bo_cso_table_49,449,Teenage Mutant Ninja Turtles,"$135,265,915",1990,25398367,13500000,135265915,66700000,201965915,93.0,,3,1990-03-30,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']"
Close Encounters of the Third Kind,/title/tt0075860/?ref_=bo_cso_table_50,450,Close Encounters of the Third Kind,"$135,189,114",1977,20000000,0,135189114,171700000,306889114,138.0,,11,1977-11-16,"['Drama', 'Sci-Fi']"
Patch Adams,/title/tt0129290/?ref_=bo_cso_table_51,451,Patch Adams,"$135,026,902",1998,25262280,90000000,135026902,67266000,202292902,115.0,PG-13,12,1998-12-25,"['Biography', 'Comedy', 'Drama', 'Romance']"
The Godfather,/title/tt0068646/?ref_=bo_cso_table_52,452,The Godfather,"$134,966,411",1972,302393,6000000,134966411,111154575,246120986,175.0,,3,1972-03-15,"['Crime', 'Drama']"
Ride Along,/title/tt1408253/?ref_=bo_cso_table_53,453,Ride Along,"$134,938,200",2014,41516170,25000000,134938200,19530702,154468902,99.0,PG-13,1,2014-01-17,"['Action', 'Comedy', 'Crime']"
The Incredible Hulk,/title/tt0800080/?ref_=bo_cso_table_54,454,The Incredible Hulk,"$134,806,913",2008,55414050,150000000,134806913,129964083,264770996,112.0,PG-13,6,2008-06-11,"['Action', 'Adventure', 'Sci-Fi']"
Live Free or Die Hard,/title/tt0337978/?ref_=bo_cso_table_55,455,Live Free or Die Hard,"$134,529,403",2007,33369559,110000000,134529403,253626608,388156011,128.0,PG-13,6,2007-06-26,"['Action', 'Thriller']"
Wanted,/title/tt0493464/?ref_=bo_cso_table_56,456,Wanted,"$134,508,551",2008,50927085,75000000,134508551,207954512,342463063,110.0,R,6,2008-06-26,"['Action', 'Crime', 'Thriller']"
Identity Thief,/title/tt2024432/?ref_=bo_cso_table_57,457,Identity Thief,"$134,506,920",2013,34551025,35000000,134506920,39458090,173965010,111.0,R,2,2013-02-07,"['Comedy', 'Crime', 'Drama']"
Superman,/title/tt0078346/?ref_=bo_cso_table_58,458,Superman,"$134,451,603",1978,7465343,55000000,134451603,166000000,300218018,143.0,PG,12,1978-12-15,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
The Rock,/title/tt0117500/?ref_=bo_cso_table_59,459,The Rock,"$134,069,511",1996,25069525,75000000,134069511,200993110,335062621,136.0,R,6,1996-06-07,"['Action', 'Adventure', 'Thriller']"
Mission: Impossible III,/title/tt0317919/?ref_=bo_cso_table_60,460,Mission: Impossible III,"$134,029,801",2006,47743273,150000000,134029801,264449696,398479497,126.0,PG-13,5,2006-05-03,"['Action', 'Adventure', 'Thriller']"
Grown Ups 2,/title/tt2191701/?ref_=bo_cso_table_61,461,Grown Ups 2,"$133,668,525",2013,41508572,80000000,133668525,113315753,246984278,101.0,PG-13,7,2013-07-11,['Comedy']
Troy,/title/tt0332452/?ref_=bo_cso_table_62,462,Troy,"$133,378,256",2004,46865412,175000000,133378256,364031596,497409852,163.0,R,5,2004-05-12,"['Drama', 'History']"
Angels & Demons,/title/tt0808151/?ref_=bo_cso_table_63,463,Angels & Demons,"$133,375,846",2009,46204168,150000000,133375846,352554970,485930816,138.0,PG-13,5,2009-05-13,"['Action', 'Mystery', 'Thriller']"
Alvin and the Chipmunks: Chipwrecked,/title/tt1615918/?ref_=bo_cso_table_64,464,Alvin and the Chipmunks: Chipwrecked,"$133,110,742",2011,23244744,75000000,133110742,209584693,342695435,87.0,G,12,2011-12-14,"['Adventure', 'Animation', 'Comedy', 'Family', 'Musical']"
Bringing Down the House,/title/tt0305669/?ref_=bo_cso_table_65,465,Bringing Down the House,"$132,716,677",2003,31101026,33000000,132716677,32013002,164729679,105.0,PG-13,3,2003-03-07,['Comedy']
The Wolverine,/title/tt1430132/?ref_=bo_cso_table_66,466,The Wolverine,"$132,556,852",2013,53113752,120000000,132556852,282271394,414828246,126.0,PG-13,7,2013-07-24,"['Action', 'Adventure', 'Sci-Fi']"
Wonder,/title/tt2543472/?ref_=bo_cso_table_67,467,Wonder,"$132,422,809",2017,27547866,0,132422809,173517797,305940606,113.0,PG,10,2017-10-17,"['Drama', 'Family']"
The Departed,/title/tt0407887/?ref_=bo_cso_table_68,468,The Departed,"$132,384,315",2006,26887467,90000000,132384315,159081058,291465373,151.0,R,10,2006-10-05,"['Crime', 'Drama', 'Thriller']"
Hulk,/title/tt0286716/?ref_=bo_cso_table_69,469,Hulk,"$132,177,234",2003,62128420,137000000,132177234,113107931,245285165,138.0,PG-13,6,2003-06-19,"['Action', 'Sci-Fi']"
Silver Linings Playbook,/title/tt1045658/?ref_=bo_cso_table_70,470,Silver Linings Playbook,"$132,092,958",2012,443003,21000000,132092958,104319495,236412453,122.0,R,11,2012-11-16,"['Comedy', 'Drama', 'Romance']"
Minority Report,/title/tt0181689/?ref_=bo_cso_table_71,471,Minority Report,"$132,072,926",2002,35677125,102000000,132072926,226300000,358372926,145.0,PG-13,6,2002-06-20,"['Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']"
Fantastic 4: Rise of the Silver Surfer,/title/tt0486576/?ref_=bo_cso_table_72,472,Fantastic 4: Rise of the Silver Surfer,"$131,921,738",2007,58051684,130000000,131921738,169991393,301913131,92.0,PG,6,2007-06-13,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
The Last Airbender,/title/tt0938283/?ref_=bo_cso_table_73,473,The Last Airbender,"$131,772,187",2010,40325019,150000000,131772187,187941694,319713881,103.0,PG,7,2010-07-01,"['Action', 'Adventure', 'Family', 'Fantasy']"
Rio 2,/title/tt2357291/?ref_=bo_cso_table_74,474,Rio 2,"$131,538,435",2014,39327869,103000000,131538435,367242682,498781117,101.0,G,3,2014-03-20,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']"
Lara Croft: Tomb Raider,/title/tt0146316/?ref_=bo_cso_table_75,475,Lara Croft: Tomb Raider,"$131,168,070",2001,47735743,115000000,131168070,143535270,274703340,100.0,PG-13,6,2001-06-15,"['Action', 'Adventure', 'Fantasy', 'Thriller']"
The Silence of the Lambs,/title/tt0102926/?ref_=bo_cso_table_76,476,The Silence of the Lambs,"$130,742,922",1991,13766814,19000000,130742922,142000000,272742922,118.0,,2,1991-02-14,"['Crime', 'Drama', 'Thriller']"
"Honey, I Shrunk the Kids",/title/tt0097523/?ref_=bo_cso_table_77,477,"Honey, I Shrunk the Kids","$130,724,172",1989,14262961,0,130724172,92000000,222724172,93.0,,6,1989-06-23,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']"
The Flintstones,/title/tt0109813/?ref_=bo_cso_table_78,478,The Flintstones,"$130,531,208",1994,29688730,46000000,130531208,211100000,341631208,91.0,PG,5,1994-05-27,"['Comedy', 'Family', 'Fantasy']"
Lethal Weapon 4,/title/tt0122151/?ref_=bo_cso_table_79,479,Lethal Weapon 4,"$130,444,603",1998,34048124,140000000,130444603,155000000,285444603,127.0,R,7,1998-07-10,"['Action', 'Crime', 'Thriller']"
Get Smart,/title/tt0425061/?ref_=bo_cso_table_80,480,Get Smart,"$130,319,208",2008,38683480,80000000,130319208,100366245,230685453,110.0,PG-13,6,2008-06-19,"['Action', 'Adventure', 'Comedy']"
The Divergent Series: Insurgent,/title/tt2908446/?ref_=bo_cso_table_81,481,The Divergent Series: Insurgent,"$130,179,072",2015,52263680,110000000,130179072,166823455,297002527,119.0,PG-13,3,2015-03-18,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
The Peanuts Movie,/title/tt2452042/?ref_=bo_cso_table_82,482,The Peanuts Movie,"$130,178,411",2015,44213073,99000000,130178411,116054702,246233113,88.0,G,10,2015-10-29,"['Animation', 'Comedy', 'Family']"
Transformers: The Last Knight,/title/tt3371366/?ref_=bo_cso_table_83,483,Transformers: The Last Knight,"$130,168,683",2017,44680073,217000000,130168683,475256474,605425157,154.0,PG-13,6,2017-06-21,"['Action', 'Adventure', 'Sci-Fi']"
American Gangster,/title/tt0765429/?ref_=bo_cso_table_84,484,American Gangster,"$130,164,645",2007,43565135,100000000,130164645,139590785,269755430,157.0,R,11,2007-11-02,"['Biography', 'Crime', 'Drama', 'Thriller']"
American Beauty,/title/tt0169547/?ref_=bo_cso_table_85,485,American Beauty,"$130,096,601",1999,861531,15000000,130096601,226200000,356296601,122.0,R,9,1999-09-15,['Drama']
An Officer and a Gentleman,/title/tt0084434/?ref_=bo_cso_table_86,486,An Officer and a Gentleman,"$129,795,554",1982,3304679,0,129795554,129795554,0,124.0,,7,1982-07-30,"['Drama', 'Romance']"
The Ring,/title/tt0298130/?ref_=bo_cso_table_87,487,The Ring,"$129,128,133",2002,15015393,48000000,129128133,120220800,249348933,115.0,PG-13,10,2002-10-18,"['Horror', 'Mystery']"
The Nutty Professor,/title/tt0117218/?ref_=bo_cso_table_88,488,The Nutty Professor,"$128,814,019",1996,25411725,54000000,128814019,145147000,273961019,95.0,PG-13,6,1996-06-28,"['Comedy', 'Romance', 'Sci-Fi']"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,/title/tt0443453/?ref_=bo_cso_table_89,489,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"$128,505,958",2006,26455463,18000000,128505958,134046935,262552893,84.0,R,2,2006-02-23,['Comedy']
Ghostbusters,/title/tt1289401/?ref_=bo_cso_table_90,490,Ghostbusters,"$128,350,574",2016,46018755,144000000,128350574,100796935,229147509,117.0,PG-13,7,2016-07-11,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']"
Kingsman: The Secret Service,/title/tt2802144/?ref_=bo_cso_table_91,491,Kingsman: The Secret Service,"$128,261,724",2015,36206331,81000000,128261724,286089822,414351546,129.0,R,1,2015-01-30,"['Action', 'Adventure', 'Comedy', 'Thriller']"
Robots,/title/tt0358082/?ref_=bo_cso_table_92,492,Robots,"$128,200,012",2005,36045301,75000000,128200012,134311478,262511490,91.0,PG,3,2005-03-10,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']"
Coming to America,/title/tt0094898/?ref_=bo_cso_table_93,493,Coming to America,"$128,152,301",1988,21404420,0,128152301,160600000,288752301,116.0,,6,1988-06-29,"['Comedy', 'Romance']"
"Crouching Tiger, Hidden Dragon",/title/tt0190332/?ref_=bo_cso_table_94,494,"Crouching Tiger, Hidden Dragon","$128,078,872",2000,663205,17000000,128078872,85446864,213525736,,PG-13,12,2000-12-08,"['Action', 'Adventure', 'Fantasy', 'Romance']"
Shutter Island,/title/tt1130884/?ref_=bo_cso_table_95,495,Shutter Island,"$128,012,934",2010,41062440,80000000,128012934,166791261,294804195,138.0,R,2,2010-02-18,"['Mystery', 'Thriller']"
Into the Woods,/title/tt2180411/?ref_=bo_cso_table_96,496,Into the Woods,"$128,002,372",2014,31051923,50000000,128002372,84900000,212902372,125.0,PG,12,2014-12-24,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Musical']"
Rocky IV,/title/tt0089927/?ref_=bo_cso_table_97,497,Rocky IV,"$127,873,716",1985,19991537,0,127873716,172600000,300473716,91.0,,11,1985-11-27,"['Drama', 'Sport']"
Enchanted,/title/tt0461770/?ref_=bo_cso_table_98,498,Enchanted,"$127,807,262",2007,34440317,85000000,127807262,212680574,340487836,107.0,PG,11,2007-11-21,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']"
The Curious Case of Benjamin Button,/title/tt0421715/?ref_=bo_cso_table_99,499,The Curious Case of Benjamin Button,"$127,509,326",2008,26853816,150000000,127509326,208293460,335802786,166.0,PG-13,12,2008-12-25,"['Drama', 'Fantasy', 'Romance']"
Central Intelligence,/title/tt1489889/?ref_=bo_cso_table_100,500,Central Intelligence,"$127,440,871",2016,35535250,50000000,127440871,89531672,216972543,107.0,PG-13,6,2016-06-15,"['Action', 'Comedy', 'Crime']"
Anchorman 2: The Legend Continues,/title/tt1229340/?ref_=bo_cso_table_101,501,Anchorman 2: The Legend Continues,"$127,352,707",2013,26232425,50000000,127352707,46297224,173649931,119.0,PG-13,12,2013-12-18,['Comedy']
Sweet Home Alabama,/title/tt0256415/?ref_=bo_cso_table_102,502,Sweet Home Alabama,"$127,223,418",2002,35648740,30000000,127223418,53399006,180622424,108.0,PG-13,9,2002-09-27,"['Comedy', 'Romance']"
Bumblebee,/title/tt4701182/?ref_=bo_cso_table_103,503,Bumblebee,"$127,195,589",2018,21654047,135000000,127195589,340794056,467989645,114.0,PG-13,12,2018-12-19,"['Action', 'Adventure', 'Sci-Fi']"
Dumb and Dumber,/title/tt0109686/?ref_=bo_cso_table_104,504,Dumb and Dumber,"$127,175,374",1994,16363442,17000000,127175374,120100000,247275374,107.0,,12,1994-12-16,['Comedy']
2 Fast 2 Furious,/title/tt0322259/?ref_=bo_cso_table_105,505,2 Fast 2 Furious,"$127,154,901",2003,50472480,76000000,127154901,109195760,236350661,107.0,PG-13,6,2003-06-05,"['Action', 'Crime', 'Thriller']"
My Best Friend's Wedding,/title/tt0119738/?ref_=bo_cso_table_106,506,My Best Friend's Wedding,"$127,120,029",1997,21678377,38000000,127120029,172168576,299288605,105.0,PG-13,6,1997-06-20,"['Comedy', 'Drama', 'Romance']"
Super 8,/title/tt1650062/?ref_=bo_cso_table_107,507,Super 8,"$127,004,179",2011,35451168,50000000,127004179,133091807,260095986,112.0,PG-13,6,2011-06-09,"['Action', 'Adventure', 'Mystery', 'Sci-Fi', 'Thriller']"
The World Is Not Enough,/title/tt0143145/?ref_=bo_cso_table_108,508,The World Is Not Enough,"$126,943,684",1999,35519007,135000000,126943684,234888716,126943684,128.0,PG-13,11,1999-11-19,"['Action', 'Adventure', 'Crime', 'Thriller']"
Sleepless in Seattle,/title/tt0108160/?ref_=bo_cso_table_109,509,Sleepless in Seattle,"$126,808,165",1993,17253733,21000000,126808165,101119000,227799884,105.0,PG,6,1993-06-25,"['Comedy', 'Drama', 'Romance']"
Smokey and the Bandit,/title/tt0076729/?ref_=bo_cso_table_110,510,Smokey and the Bandit,"$126,737,428",1977,0,0,126737428,126737428,0,96.0,,5,1977-05-27,"['Action', 'Comedy']"
Lucy,/title/tt2872732/?ref_=bo_cso_table_111,511,Lucy,"$126,663,600",2014,43899340,40000000,126663600,332200000,458863600,89.0,R,7,2014-07-25,"['Action', 'Sci-Fi', 'Thriller']"
The Legend of Tarzan,/title/tt0918940/?ref_=bo_cso_table_112,512,The Legend of Tarzan,"$126,643,061",2016,38527856,180000000,126643061,230057296,356700357,110.0,PG-13,6,2016-06-29,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']"
Bee Movie,/title/tt0389790/?ref_=bo_cso_table_113,513,Bee Movie,"$126,631,277",2007,38021044,150000000,126631277,166883059,293514336,91.0,PG,11,2007-11-01,"['Adventure', 'Animation', 'Comedy', 'Family']"
Prometheus,/title/tt1446714/?ref_=bo_cso_table_114,514,Prometheus,"$126,477,084",2012,51050101,130000000,126477084,276877385,403354469,124.0,R,5,2012-05-30,"['Adventure', 'Mystery', 'Sci-Fi']"
Safe House,/title/tt1599348/?ref_=bo_cso_table_115,515,Safe House,"$126,373,434",2012,40172720,85000000,126373434,81702771,208076205,115.0,R,2,2012-02-08,"['Action', 'Thriller']"
Mr. Deeds,/title/tt0280590/?ref_=bo_cso_table_116,516,Mr. Deeds,"$126,293,452",2002,37162787,50000000,126293452,44976083,171269535,96.0,PG-13,6,2002-06-28,"['Comedy', 'Romance']"
The Truman Show,/title/tt0120382/?ref_=bo_cso_table_117,517,The Truman Show,"$125,618,201",1998,31542121,0,125618201,138500000,264118201,103.0,PG,6,1998-06-05,"['Comedy', 'Drama', 'Sci-Fi']"
Erin Brockovich,/title/tt0195685/?ref_=bo_cso_table_118,518,Erin Brockovich,"$125,595,205",2000,28138465,52000000,125595205,130676081,256271286,131.0,R,3,2000-03-17,"['Biography', 'Drama']"
Ocean's Twelve,/title/tt0349903/?ref_=bo_cso_table_119,519,Ocean's Twelve,"$125,544,280",2004,39153380,110000000,125544280,237200000,362744280,125.0,PG-13,12,2004-12-09,"['Crime', 'Thriller']"
Terminator Salvation,/title/tt0438488/?ref_=bo_cso_table_120,520,Terminator Salvation,"$125,322,469",2009,42558390,200000000,125322469,246030532,371353001,115.0,PG-13,5,2009-05-20,"['Action', 'Sci-Fi']"
Charlie's Angels,/title/tt0160127/?ref_=bo_cso_table_121,521,Charlie's Angels,"$125,305,545",2000,40128550,93000000,125305545,138800000,264105545,98.0,PG-13,11,2000-11-03,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']"
Tomorrow Never Dies,/title/tt0120347/?ref_=bo_cso_table_122,522,Tomorrow Never Dies,"$125,304,276",1997,25143007,0,125304276,207706792,333011068,119.0,PG-13,12,1997-12-19,"['Action', 'Adventure', 'Thriller']"
