,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,release_date,genres
Prince of Persia: The Sands of Time,/title/tt0473075/?ref_=bo_cso_table_38,838,Prince of Persia: The Sands of Time,"$90,759,676",2010,30095259,200000000,90759676,245606000,336365676,116.0,PG-13,7,2009-07-16,"['Action', 'Adventure', 'Fantasy']"
Antz,/title/tt0120587/?ref_=bo_cso_table_39,839,Antz,"$90,757,863",1998,17195160,105000000,90757863,81000000,171757863,83.0,PG,10,1998-10-02,"['Adventure', 'Animation', 'Comedy', 'Family']"
Scary Movie 4,/title/tt0362120/?ref_=bo_cso_table_40,840,Scary Movie 4,"$90,710,620",2006,40222875,45000000,90710620,87552000,178262620,83.0,PG-13,4,2006-04-12,"['Comedy', 'Horror']"
The Game Plan,/title/tt0492956/?ref_=bo_cso_table_41,841,The Game Plan,"$90,648,202",2007,22950971,0,90648202,57232341,147880543,110.0,PG,9,2007-09-28,"['Comedy', 'Family', 'Sport']"
"Me, Myself & Irene",/title/tt0183505/?ref_=bo_cso_table_42,842,"Me, Myself & Irene","$90,570,999",2000,24209385,51000000,90570999,58700000,149270999,116.0,R,6,2000-06-23,['Comedy']
High School Musical 3,/title/tt0962726/?ref_=bo_cso_table_43,843,High School Musical 3,"$90,559,416",2008,42030184,11000000,90559416,162349761,252909177,112.0,G,10,2008-10-22,"['Comedy', 'Drama', 'Family', 'Music', 'Musical', 'Romance']"
Madea Goes to Jail,/title/tt1142800/?ref_=bo_cso_table_44,844,Madea Goes to Jail,"$90,508,336",2009,41030947,0,90508336,90508336,0,103.0,PG-13,2,2009-02-20,"['Comedy', 'Crime', 'Drama']"
Space Cowboys,/title/tt0186566/?ref_=bo_cso_table_45,845,Space Cowboys,"$90,464,773",2000,18093776,65000000,90464773,38419359,128884132,130.0,PG-13,8,2000-08-04,"['Action', 'Adventure', 'Thriller']"
Space Jam,/title/tt0117705/?ref_=bo_cso_table_46,846,Space Jam,"$90,418,342",1996,27528529,0,90418342,140000000,230418342,88.0,PG,11,1996-11-15,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi', 'Sport']"
Get Hard,/title/tt2561572/?ref_=bo_cso_table_47,847,Get Hard,"$90,411,453",2015,33803253,40000000,90411453,21300000,111711453,100.0,R,3,2015-03-26,"['Comedy', 'Crime']"
Trading Places,/title/tt0086465/?ref_=bo_cso_table_48,848,Trading Places,"$90,404,800",1983,7348200,0,90404800,90404800,0,116.0,,6,1983-06-10,['Comedy']
RED,/title/tt1245526/?ref_=bo_cso_table_49,849,RED,"$90,380,162",2010,21761408,58000000,90380162,108626225,199006387,111.0,PG-13,10,2010-10-14,"['Action', 'Comedy', 'Crime', 'Thriller']"
Planes,/title/tt1691917/?ref_=bo_cso_table_50,850,Planes,"$90,288,712",2013,22232291,50000000,90288712,148970000,239258712,91.0,PG,8,2013-08-09,"['Adventure', 'Animation', 'Comedy', 'Family']"
Legally Blonde 2,/title/tt0333780/?ref_=bo_cso_table_51,851,Legally Blonde 2,"$90,186,328",2003,22220670,45000000,90186328,34728514,124914842,95.0,PG-13,7,2003-07-02,['Comedy']
Mystic River,/title/tt0327056/?ref_=bo_cso_table_52,852,Mystic River,"$90,135,191",2003,640815,25000000,90135191,66460000,156595191,138.0,R,10,2003-10-08,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Terminator Genisys,/title/tt1340138/?ref_=bo_cso_table_53,853,Terminator Genisys,"$89,760,956",2015,27018486,155000000,89760956,350842581,440603537,126.0,PG-13,6,2015-06-25,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Flightplan,/title/tt0408790/?ref_=bo_cso_table_54,854,Flightplan,"$89,707,299",2005,24629938,0,89707299,133680000,223387299,98.0,PG-13,9,2005-09-23,"['Drama', 'Mystery', 'Thriller']"
The Emperor's New Groove,/title/tt0120917/?ref_=bo_cso_table_55,855,The Emperor's New Groove,"$89,521,687",2000,9812302,100000000,89521687,80025000,169546687,78.0,,12,2000-12-15,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Father of the Bride,/title/tt0101862/?ref_=bo_cso_table_56,856,Father of the Bride,"$89,325,780",1991,7031146,0,89325780,89325780,0,105.0,,12,1991-12-20,"['Comedy', 'Family', 'Romance']"
The Lone Ranger,/title/tt1210819/?ref_=bo_cso_table_57,857,The Lone Ranger,"$89,302,115",2013,29210849,215000000,89302115,171200000,260502115,150.0,PG-13,7,2013-07-03,"['Action', 'Adventure', 'Western']"
Taken 3,/title/tt2446042/?ref_=bo_cso_table_58,858,Taken 3,"$89,256,424",2015,39201657,48000000,89256424,237222717,326479141,108.0,PG-13,1,2015-01-01,"['Action', 'Thriller']"
Don't Breathe,/title/tt4160708/?ref_=bo_cso_table_59,859,Don't Breathe,"$89,217,875",2016,26411706,9900000,89217875,68612612,157830487,88.0,R,8,2016-08-25,"['Crime', 'Horror', 'Thriller']"
Scream 3,/title/tt0134084/?ref_=bo_cso_table_60,860,Scream 3,"$89,143,175",2000,34713342,40000000,89143175,72691101,161834276,116.0,R,2,2000-02-04,"['Horror', 'Mystery']"
Oblivion,/title/tt1483013/?ref_=bo_cso_table_61,861,Oblivion,"$89,107,235",2013,37054485,120000000,89107235,197061337,286168572,124.0,PG-13,4,2013-04-10,"['Action', 'Adventure', 'Sci-Fi']"
The Ugly Truth,/title/tt1142988/?ref_=bo_cso_table_62,862,The Ugly Truth,"$88,915,214",2009,27605576,38000000,88915214,232767386,321682600,96.0,R,2,2009-02-26,"['Comedy', 'Romance']"
Percy Jackson & the Olympians: The Lightning Thief,/title/tt0814255/?ref_=bo_cso_table_63,863,Percy Jackson & the Olympians: The Lightning Thief,"$88,768,303",2010,31236067,95000000,88768303,137728906,226497209,118.0,PG,2,2010-02-10,"['Adventure', 'Family', 'Fantasy']"
Failure to Launch,/title/tt0427229/?ref_=bo_cso_table_64,864,Failure to Launch,"$88,715,192",2006,24411322,50000000,88715192,41508966,130224158,97.0,PG-13,3,2006-03-09,"['Comedy', 'Romance']"
The Muppets,/title/tt1204342/?ref_=bo_cso_table_65,865,The Muppets,"$88,631,237",2011,29239026,45000000,88631237,76553000,165184237,,PG,11,2011-11-23,"['Adventure', 'Comedy', 'Family', 'Musical']"
Inside Man,/title/tt0454848/?ref_=bo_cso_table_66,866,Inside Man,"$88,513,495",2006,28954945,45000000,88513495,97490096,186003591,129.0,R,3,2006-03-23,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Back to the Future Part III,/title/tt0099088/?ref_=bo_cso_table_67,867,Back to the Future Part III,"$88,277,583",1990,19089645,40000000,88277583,156800000,244527583,118.0,,5,1990-05-25,"['Adventure', 'Comedy', 'Sci-Fi', 'Western']"
Waterworld,/title/tt0114898/?ref_=bo_cso_table_68,868,Waterworld,"$88,246,220",1995,21171780,175000000,88246220,175972000,264218220,135.0,PG-13,7,1995-07-28,"['Action', 'Adventure', 'Sci-Fi']"
Starsky & Hutch,/title/tt0335438/?ref_=bo_cso_table_69,869,Starsky & Hutch,"$88,237,754",2004,28103367,60000000,88237754,82030996,170268750,101.0,PG-13,3,2004-03-05,"['Comedy', 'Crime']"
Along Came Polly,/title/tt0343135/?ref_=bo_cso_table_70,870,Along Came Polly,"$88,097,164",2004,27721185,42000000,88097164,90214565,178311729,90.0,PG-13,1,2004-01-16,"['Comedy', 'Romance']"
The Hand That Rocks the Cradle,/title/tt0104389/?ref_=bo_cso_table_71,871,The Hand That Rocks the Cradle,"$88,036,683",1992,7675016,0,88036683,88036683,0,110.0,R,1,1992-01-10,"['Drama', 'Thriller']"
Entrapment,/title/tt0137494/?ref_=bo_cso_table_72,872,Entrapment,"$87,704,396",1999,20145595,66000000,87704396,124700000,212404396,113.0,PG-13,4,1999-04-30,"['Action', 'Crime', 'Romance', 'Thriller']"
Peter Pan,/title/tt0046183/?ref_=bo_cso_table_73,873,Peter Pan,"$87,404,651",1953,4000000,0,87404651,87404651,0,77.0,G,2,1953-02-05,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Musical']"
Pineapple Express,/title/tt0910936/?ref_=bo_cso_table_74,874,Pineapple Express,"$87,341,380",2008,23245025,27000000,87341380,14283463,101624843,111.0,R,8,2008-08-06,"['Action', 'Comedy', 'Crime']"
Miss Peregrine's Home for Peculiar Children,/title/tt1935859/?ref_=bo_cso_table_75,875,Miss Peregrine's Home for Peculiar Children,"$87,242,834",2016,28871140,110000000,87242834,209239612,296482446,127.0,PG-13,9,2016-09-28,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Thriller']"
Everest,/title/tt0120661/?ref_=bo_cso_table_76,876,Everest,"$87,178,599",1998,364244,0,87178599,40811529,87178599,,,3,1998-03-06,"['Documentary', 'Short']"
Out of Africa,/title/tt0089755/?ref_=bo_cso_table_77,877,Out of Africa,"$87,071,205",1985,3637290,0,87071205,140443000,227514205,161.0,,12,1985-12-20,"['Biography', 'Drama', 'Romance']"
Sisters,/title/tt1850457/?ref_=bo_cso_table_78,878,Sisters,"$87,044,645",2015,13922855,30000000,87044645,17966408,105011053,118.0,R,12,2015-12-18,['Comedy']
Saw II,/title/tt0432348/?ref_=bo_cso_table_79,879,Saw II,"$87,039,965",2005,31725652,4000000,87039965,60708540,147748505,93.0,R,10,2005-10-28,"['Horror', 'Mystery']"
The Naked Gun 2½: The Smell of Fear,/title/tt0102510/?ref_=bo_cso_table_80,880,The Naked Gun 2½: The Smell of Fear,"$86,930,411",1991,20817139,23000000,86930411,86930411,0,85.0,,6,1991-06-28,"['Comedy', 'Crime']"
The Campaign,/title/tt1790886/?ref_=bo_cso_table_81,881,The Campaign,"$86,907,746",2012,26588460,0,86907746,18000000,104907746,85.0,R,8,2012-08-09,['Comedy']
The War of the Roses,/title/tt0098621/?ref_=bo_cso_table_82,882,The War of the Roses,"$86,888,546",1989,9488794,0,86888546,73300000,160188546,116.0,,12,1989-12-08,"['Comedy', 'Romance']"
The Amityville Horror,/title/tt0078767/?ref_=bo_cso_table_83,883,The Amityville Horror,"$86,432,000",1979,7843467,0,86432000,86432000,0,117.0,,7,1979-07-27,['Horror']
Presumed Innocent,/title/tt0100404/?ref_=bo_cso_table_84,884,Presumed Innocent,"$86,303,188",1990,11718981,0,86303188,135000000,221303188,127.0,,7,1990-07-27,"['Mystery', 'Thriller']"
Young Frankenstein,/title/tt0072431/?ref_=bo_cso_table_85,885,Young Frankenstein,"$86,273,333",1974,2800000,0,86273333,86273333,0,106.0,,12,1974-12-15,['Comedy']
The Accountant,/title/tt2140479/?ref_=bo_cso_table_86,886,The Accountant,"$86,260,045",2016,24710273,44000000,86260045,68900000,155160045,128.0,R,10,2016-10-13,"['Action', 'Crime', 'Drama', 'Thriller']"
Dumb and Dumber To,/title/tt2096672/?ref_=bo_cso_table_87,887,Dumb and Dumber To,"$86,208,010",2014,36111775,40000000,86208010,83629000,169837010,109.0,PG-13,11,2014-11-12,['Comedy']
The Emoji Movie,/title/tt4877122/?ref_=bo_cso_table_88,888,The Emoji Movie,"$86,089,513",2017,24531923,50000000,86089513,131687133,217776646,86.0,PG,7,2017-07-27,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Mean Girls,/title/tt0377092/?ref_=bo_cso_table_89,889,Mean Girls,"$86,058,055",2004,24432195,17000000,86058055,44068222,130126277,97.0,PG-13,4,2004-04-30,['Comedy']
Annie,/title/tt1823664/?ref_=bo_cso_table_90,890,Annie,"$85,911,262",2014,15861939,65000000,85911262,50942244,136853506,118.0,PG,12,2014-12-17,"['Comedy', 'Drama', 'Family', 'Musical']"
Alvin and the Chipmunks: The Road Chip,/title/tt2974918/?ref_=bo_cso_table_91,891,Alvin and the Chipmunks: The Road Chip,"$85,886,987",2015,14287159,0,85886987,148911649,234798636,92.0,PG,12,2015-12-18,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music']"
Spy Kids 2: Island of Lost Dreams,/title/tt0287717/?ref_=bo_cso_table_92,892,Spy Kids 2: Island of Lost Dreams,"$85,846,429",2002,16711716,38000000,85846429,33876929,119723358,100.0,PG,8,2002-08-07,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']"
Alita: Battle Angel,/title/tt0437086/?ref_=bo_cso_table_93,893,Alita: Battle Angel,"$85,838,210",2019,28525613,170000000,85838210,319142333,404980543,122.0,PG-13,2,2019-02-05,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Fury,/title/tt2713180/?ref_=bo_cso_table_94,894,Fury,"$85,817,906",2014,23702421,68000000,85817906,126004791,211822697,134.0,R,10,2014-10-17,"['Action', 'Drama', 'War']"
Pokémon: The First Movie - Mewtwo Strikes Back,/title/tt0190641/?ref_=bo_cso_table_95,895,Pokémon: The First Movie - Mewtwo Strikes Back,"$85,744,662",1999,31036678,30000000,85744662,77900000,163644662,96.0,,11,1999-11-10,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Sci-Fi', 'Sport']"
Real Steel,/title/tt0433035/?ref_=bo_cso_table_96,896,Real Steel,"$85,468,508",2011,27319677,0,85468508,213800000,299268508,127.0,PG-13,10,2011-10-05,"['Action', 'Drama', 'Sci-Fi', 'Sport']"
The SpongeBob SquarePants Movie,/title/tt0345950/?ref_=bo_cso_table_97,897,The SpongeBob SquarePants Movie,"$85,417,988",2004,32018216,30000000,85417988,55649139,141067127,87.0,PG,11,2004-11-19,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Power Rangers,/title/tt3717490/?ref_=bo_cso_table_98,898,Power Rangers,"$85,364,450",2017,40300288,100000000,85364450,56972790,142337240,124.0,PG-13,3,2017-03-22,"['Action', 'Adventure', 'Sci-Fi']"
Brother Bear,/title/tt0328880/?ref_=bo_cso_table_99,899,Brother Bear,"$85,336,277",2003,291940,0,85336277,165061521,250397798,85.0,,10,2003-10-24,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Stripes,/title/tt0083131/?ref_=bo_cso_table_100,900,Stripes,"$85,297,000",1981,6130197,0,85297000,85297000,0,106.0,R,6,1981-06-26,"['Comedy', 'War']"
Anchorman: The Legend of Ron Burgundy,/title/tt0357413/?ref_=bo_cso_table_101,901,Anchorman: The Legend of Ron Burgundy,"$85,288,303",2004,28416365,26000000,85288303,5361427,90649730,94.0,PG-13,7,2004-07-09,['Comedy']
Every Which Way but Loose,/title/tt0077523/?ref_=bo_cso_table_102,902,Every Which Way but Loose,"$85,196,485",1978,10272294,0,85196485,85196485,0,114.0,,12,1978-12-20,"['Action', 'Comedy']"
Rocky II,/title/tt0079817/?ref_=bo_cso_table_103,903,Rocky II,"$85,182,160",1979,6390537,0,85182160,5695,85187855,119.0,,6,1979-06-15,"['Drama', 'Sport']"
Aliens,/title/tt0090605/?ref_=bo_cso_table_104,904,Aliens,"$85,160,248",1986,10052042,0,85160248,45900000,131060248,137.0,R,7,1986-07-18,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Open Season,/title/tt0400717/?ref_=bo_cso_table_105,905,Open Season,"$85,105,259",2006,23624548,85000000,85105259,115706430,200811689,86.0,PG,9,2006-09-29,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Green Book,/title/tt6966692/?ref_=bo_cso_table_106,906,Green Book,"$85,080,171",2018,320429,23000000,85080171,236672485,321752656,130.0,PG-13,11,2018-11-16,"['Biography', 'Comedy', 'Drama', 'Music']"
The Expendables 2,/title/tt1764651/?ref_=bo_cso_table_107,907,The Expendables 2,"$85,028,192",2012,28591370,100000000,85028192,229947763,314975955,103.0,R,8,2012-08-15,"['Action', 'Adventure', 'Thriller']"
Dangerous Minds,/title/tt0112792/?ref_=bo_cso_table_108,908,Dangerous Minds,"$84,919,401",1995,14931503,0,84919401,94600000,179519401,99.0,R,8,1995-08-11,"['Biography', 'Drama']"
Paranormal Activity 2,/title/tt1536044/?ref_=bo_cso_table_109,909,Paranormal Activity 2,"$84,752,907",2010,40678424,3000000,84752907,92759125,177512032,91.0,R,10,2010-10-20,"['Horror', 'Mystery']"
Steel Magnolias,/title/tt0098384/?ref_=bo_cso_table_110,910,Steel Magnolias,"$84,614,512",1989,5425440,0,84614512,12145000,95904091,117.0,,11,1989-11-17,"['Comedy', 'Drama', 'Romance']"
The Poseidon Adventure,/title/tt0069113/?ref_=bo_cso_table_111,911,The Poseidon Adventure,"$84,563,118",1972,264850,0,84563118,84563118,0,117.0,,12,1972-12-13,"['Action', 'Adventure', 'Drama', 'Thriller']"
Tammy,/title/tt2103254/?ref_=bo_cso_table_112,912,Tammy,"$84,525,432",2014,21577049,20000000,84525432,15850000,100375432,97.0,R,7,2014-07-02,"['Comedy', 'Romance']"
The Santa Clause 3: The Escape Clause,/title/tt0452681/?ref_=bo_cso_table_113,913,The Santa Clause 3: The Escape Clause,"$84,500,122",2006,19504038,0,84500122,26268000,110768122,97.0,G,11,2006-11-02,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Ferdinand,/title/tt3411444/?ref_=bo_cso_table_114,914,Ferdinand,"$84,410,380",2017,13401586,111000000,84410380,211658819,296069199,108.0,PG,12,2017-12-13,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
"Crazy, Stupid, Love.",/title/tt1570728/?ref_=bo_cso_table_115,915,"Crazy, Stupid, Love.","$84,351,197",2011,19104303,50000000,84351197,60700000,145051197,118.0,PG-13,7,2011-07-28,"['Comedy', 'Drama', 'Romance']"
Annabelle,/title/tt3322940/?ref_=bo_cso_table_116,916,Annabelle,"$84,273,813",2014,37134255,6500000,84273813,173305469,257579282,99.0,R,9,2014-09-23,"['Horror', 'Mystery', 'Thriller']"
Pinocchio,/title/tt0032910/?ref_=bo_cso_table_117,917,Pinocchio,"$84,254,167",1940,0,0,84254167,37637878,121892045,88.0,G,2,1940-02-09,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']"
Scooby-Doo 2: Monsters Unleashed,/title/tt0331632/?ref_=bo_cso_table_118,918,Scooby-Doo 2: Monsters Unleashed,"$84,216,833",2004,29438331,0,84216833,97000000,181216833,93.0,PG,3,2004-03-26,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi']"
Birds of Prey,/title/tt7713068/?ref_=bo_cso_table_119,919,Birds of Prey,"$84,158,461",2020,33010017,84500000,84158461,117700000,201858461,109.0,R,2,2020-02-05,"['Action', 'Adventure', 'Comedy', 'Crime']"
Atlantis: The Lost Empire,/title/tt0230011/?ref_=bo_cso_table_120,920,Atlantis: The Lost Empire,"$84,056,472",2001,329011,120000000,84056472,101997253,186053725,95.0,PG,6,2001-06-08,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Sci-Fi']"
Cliffhanger,/title/tt0106582/?ref_=bo_cso_table_121,921,Cliffhanger,"$84,049,211",1993,16176967,70000000,84049211,170951000,255000211,113.0,R,5,1993-05-28,"['Action', 'Adventure', 'Thriller']"
The Other Woman,/title/tt2203939/?ref_=bo_cso_table_122,922,The Other Woman,"$83,911,193",2014,24763752,40000000,83911193,112799203,196710396,109.0,PG-13,4,2014-04-17,"['Comedy', 'Romance']"
The X Files,/title/tt0120902/?ref_=bo_cso_table_123,923,The X Files,"$83,898,313",1998,30138758,0,83898313,105278110,189176423,121.0,PG-13,6,1998-06-19,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
