,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,release_date,genres
Maid in Manhattan,/title/tt0252076/?ref_=bo_cso_table_1,801,Maid in Manhattan,"$94,011,225",2002,18711407,55000000,94011225,60895468,154906693,105.0,PG-13,12,2002-12-13,"['Comedy', 'Drama', 'Romance']"
He's Just Not That Into You,/title/tt1001508/?ref_=bo_cso_table_2,802,He's Just Not That Into You,"$93,953,653",2009,27785487,0,93953653,84912505,178866158,129.0,PG-13,2,2009-02-05,"['Comedy', 'Drama', 'Romance']"
Master and Commander: The Far Side of the World,/title/tt0311113/?ref_=bo_cso_table_3,803,Master and Commander: The Far Side of the World,"$93,927,920",2003,25105990,150000000,93927920,117694615,211622535,138.0,PG-13,11,2003-11-14,"['Action', 'Adventure', 'Drama', 'History', 'War']"
Flight,/title/tt1907668/?ref_=bo_cso_table_4,804,Flight,"$93,772,375",2012,24900566,31000000,93772375,68000000,161772375,138.0,R,11,2012-11-02,"['Drama', 'Thriller']"
The Fighter,/title/tt0964517/?ref_=bo_cso_table_5,805,The Fighter,"$93,617,009",2010,300010,25000000,93617009,35573860,129190869,116.0,R,11,2009-11-20,"['Biography', 'Drama', 'Sport']"
America's Sweethearts,/title/tt0265029/?ref_=bo_cso_table_6,806,America's Sweethearts,"$93,607,673",2001,30181877,46000000,93607673,44700000,138307673,102.0,PG-13,7,2001-07-20,"['Comedy', 'Romance']"
Lady and the Tramp,/title/tt0048280/?ref_=bo_cso_table_7,807,Lady and the Tramp,"$93,602,326",1955,4000000,0,93602326,331068,93933394,76.0,G,6,1955-06-22,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Romance']"
The Bucket List,/title/tt0825232/?ref_=bo_cso_table_8,808,The Bucket List,"$93,466,502",2007,335837,45000000,93466502,81906000,175372502,97.0,PG-13,12,2007-12-25,"['Adventure', 'Comedy', 'Drama']"
Tomorrowland,/title/tt1964418/?ref_=bo_cso_table_9,809,Tomorrowland,"$93,436,322",2015,33028165,190000000,93436322,115599346,209035668,130.0,PG,5,2015-05-20,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi']"
The Magnificent Seven,/title/tt2404435/?ref_=bo_cso_table_10,810,The Magnificent Seven,"$93,432,655",2016,34703397,90000000,93432655,68927981,162360636,132.0,PG-13,9,2016-09-14,"['Action', 'Adventure', 'Western']"
Cats & Dogs,/title/tt0239395/?ref_=bo_cso_table_11,811,Cats & Dogs,"$93,385,515",2001,21707617,60000000,93385515,107301977,200687492,87.0,PG,7,2001-07-04,"['Action', 'Comedy', 'Family', 'Fantasy']"
Space Station 3D,/title/tt0290296/?ref_=bo_cso_table_12,812,Space Station 3D,"$93,383,953",2002,489488,0,93383953,34979928,128363881,,,4,2002-04-19,['Documentary']
Two Weeks Notice,/title/tt0313737/?ref_=bo_cso_table_13,813,Two Weeks Notice,"$93,354,851",2002,14328494,60000000,93354851,105688391,199043242,101.0,PG-13,12,2002-12-20,"['Comedy', 'Romance']"
Red Dragon,/title/tt0289765/?ref_=bo_cso_table_14,814,Red Dragon,"$93,149,898",2002,36540945,78000000,93149898,116046400,209196298,124.0,R,10,2002-10-04,"['Crime', 'Drama', 'Thriller']"
Cinderella,/title/tt0042332/?ref_=bo_cso_table_15,815,Cinderella,"$93,141,149",1950,0,0,93141149,3242181,96383330,74.0,G,3,1950-03-04,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']"
When Harry Met Sally...,/title/tt0098635/?ref_=bo_cso_table_16,816,When Harry Met Sally...,"$93,075,866",1989,1094453,0,93075866,155634,93231500,95.0,,7,1989-07-14,"['Comedy', 'Drama', 'Romance']"
Elysium,/title/tt1535108/?ref_=bo_cso_table_17,817,Elysium,"$93,050,117",2013,29807393,115000000,93050117,193090583,286140700,109.0,R,8,2013-08-08,"['Action', 'Drama', 'Sci-Fi']"
Flubber,/title/tt0119137/?ref_=bo_cso_table_18,818,Flubber,"$92,977,226",1997,26725207,0,92977226,85000000,177977226,93.0,PG,11,1997-11-26,"['Comedy', 'Family', 'Sci-Fi']"
Flashdance,/title/tt0085549/?ref_=bo_cso_table_19,819,Flashdance,"$92,921,203",1983,4076124,0,92921203,92921203,0,95.0,,4,1983-04-15,"['Drama', 'Music', 'Romance']"
The Town,/title/tt0840361/?ref_=bo_cso_table_20,820,The Town,"$92,186,262",2010,23808032,37000000,92186262,61839874,154026136,125.0,R,9,2010-09-15,"['Crime', 'Drama', 'Thriller']"
Non-Stop,/title/tt2024469/?ref_=bo_cso_table_21,821,Non-Stop,"$92,168,600",2014,28875635,50000000,92168600,130641000,222809600,106.0,PG-13,2,2014-02-19,"['Action', 'Mystery', 'Thriller']"
The Client,/title/tt0109446/?ref_=bo_cso_table_22,822,The Client,"$92,115,211",1994,17174262,0,92115211,25500000,117615211,119.0,PG-13,7,1994-07-22,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Blade Runner 2049,/title/tt1856101/?ref_=bo_cso_table_23,823,Blade Runner 2049,"$92,054,159",2017,32753122,150000000,92054159,167186366,259240525,164.0,R,10,2017-10-04,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
John Wick: Chapter 2,/title/tt4425200/?ref_=bo_cso_table_24,824,John Wick: Chapter 2,"$92,029,184",2017,30436123,0,92029184,79518618,171547802,122.0,R,2,2017-02-08,"['Action', 'Crime', 'Thriller']"
Star Trek: First Contact,/title/tt0117731/?ref_=bo_cso_table_25,825,Star Trek: First Contact,"$92,027,888",1996,30716131,0,92027888,54000000,146027888,111.0,PG-13,11,1996-11-22,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']"
Think Like a Man,/title/tt1621045/?ref_=bo_cso_table_26,826,Think Like a Man,"$91,547,205",2012,33636303,12000000,91547205,4523302,96070507,123.0,PG-13,4,2012-04-20,"['Comedy', 'Romance']"
Kindergarten Cop,/title/tt0099938/?ref_=bo_cso_table_27,827,Kindergarten Cop,"$91,457,688",1990,7918560,15000000,91457688,110500000,201957688,111.0,,12,1990-12-22,"['Action', 'Comedy', 'Crime']"
Heaven Is for Real,/title/tt1929263/?ref_=bo_cso_table_28,828,Heaven Is for Real,"$91,443,253",2014,22522221,12000000,91443253,10444766,101888019,99.0,PG,4,2014-04-16,"['Biography', 'Drama', 'Family']"
The Haunting,/title/tt0171363/?ref_=bo_cso_table_29,829,The Haunting,"$91,411,151",1999,33435140,80000000,91411151,85900000,177311151,113.0,PG-13,7,1999-07-23,"['Fantasy', 'Horror', 'Mystery', 'Thriller']"
Crimson Tide,/title/tt0112740/?ref_=bo_cso_table_30,830,Crimson Tide,"$91,387,195",1995,18612190,0,91387195,66000000,157387195,116.0,R,5,1995-05-12,"['Action', 'Drama', 'Thriller', 'War']"
Back to School,/title/tt0090685/?ref_=bo_cso_table_31,831,Back to School,"$91,258,000",1986,8881035,0,91258000,91258000,0,96.0,,6,1986-06-13,"['Comedy', 'Romance', 'Sport']"
Ride Along 2,/title/tt2869728/?ref_=bo_cso_table_32,832,Ride Along 2,"$91,221,830",2016,35243095,40000000,91221830,33386608,124608438,102.0,PG-13,1,2015-01-15,"['Action', 'Comedy', 'Crime']"
Stepmom,/title/tt0120686/?ref_=bo_cso_table_33,833,Stepmom,"$91,137,662",1998,19142440,50000000,91137662,68573131,159710793,125.0,PG-13,12,1998-12-25,"['Comedy', 'Drama']"
The Imitation Game,/title/tt2084970/?ref_=bo_cso_table_34,834,The Imitation Game,"$91,125,683",2014,479352,0,91125683,142430025,233555708,114.0,PG-13,11,2014-11-14,"['Biography', 'Drama', 'Thriller', 'War']"
The Karate Kid,/title/tt0087538/?ref_=bo_cso_table_35,835,The Karate Kid,"$91,077,276",1984,5031753,0,91077276,42043,91119319,126.0,,6,1984-06-22,"['Action', 'Drama', 'Family', 'Sport']"
Save the Last Dance,/title/tt0206275/?ref_=bo_cso_table_36,836,Save the Last Dance,"$91,057,006",2001,23444930,0,91057006,40649803,131706809,112.0,PG-13,1,2001-01-12,"['Drama', 'Music', 'Romance']"
The Scorpion King,/title/tt0277296/?ref_=bo_cso_table_37,837,The Scorpion King,"$91,047,077",2002,36075875,60000000,91047077,89583830,180630907,92.0,PG-13,4,2002-04-18,"['Action', 'Adventure', 'Fantasy']"
