,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,release_date,genres
A Bug's Life,/title/tt0120623/?ref_=bo_cso_table_127,327,A Bug's Life,"$162,798,565",1998,291121,120000000,162798565,200460294,363258859,95.0,,11,1998-11-20,"['Adventure', 'Animation', 'Comedy', 'Family']"
Jason Bourne,/title/tt4196776/?ref_=bo_cso_table_128,328,Jason Bourne,"$162,434,410",2016,59215365,120000000,162434410,253050504,415484914,123.0,PG-13,7,2016-07-27,"['Action', 'Thriller']"
Grown Ups,/title/tt1375670/?ref_=bo_cso_table_129,329,Grown Ups,"$162,001,186",2010,40506562,80000000,162001186,109456115,271457301,102.0,PG-13,6,2010-06-24,['Comedy']
The Waterboy,/title/tt0120484/?ref_=bo_cso_table_130,330,The Waterboy,"$161,491,646",1998,39414071,23000000,161491646,24500000,185991646,90.0,PG-13,11,1998-11-06,"['Comedy', 'Sport']"
Ice Age: Continental Drift,/title/tt1667889/?ref_=bo_cso_table_131,331,Ice Age: Continental Drift,"$161,321,843",2012,46629259,95000000,161321843,715922939,877244782,88.0,PG,6,2012-06-27,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Straight Outta Compton,/title/tt1398426/?ref_=bo_cso_table_132,332,Straight Outta Compton,"$161,197,785",2015,60200180,28000000,161197785,40437206,201634991,147.0,R,8,2015-08-14,"['Biography', 'Drama', 'History', 'Music']"
Die Another Day,/title/tt0246460/?ref_=bo_cso_table_133,333,Die Another Day,"$160,942,139",2002,47072040,142000000,160942139,271028977,431971116,133.0,PG-13,11,2002-11-20,"['Action', 'Adventure', 'Thriller']"
Shark Tale,/title/tt0307453/?ref_=bo_cso_table_134,334,Shark Tale,"$160,861,908",2004,47604606,75000000,160861908,213721971,374583879,90.0,PG,9,2004-09-23,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
How to Train Your Dragon: The Hidden World,/title/tt2386490/?ref_=bo_cso_table_135,335,How to Train Your Dragon: The Hidden World,"$160,799,505",2019,55022245,129000000,160799505,363584083,524383588,104.0,PG,1,2019-01-03,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']"
The Heat,/title/tt2404463/?ref_=bo_cso_table_136,336,The Heat,"$159,582,188",2013,39115043,43000000,159582188,70348583,229930771,117.0,R,2,1996-02-22,"['Action', 'Comedy', 'Crime']"
