,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,release_date,genres
Tangled,/title/tt0398286/?ref_=bo_cso_table_15,215,Tangled,"$200,821,936",2010,48767052,260000000,200821936,391640023,592461959,100.0,PG,11,2010-11-24,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']"
Godzilla,/title/tt0831387/?ref_=bo_cso_table_16,216,Godzilla,"$200,676,069",2014,93188384,160000000,200676069,324300000,524976069,123.0,PG-13,5,2014-05-14,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Superman Returns,/title/tt0348150/?ref_=bo_cso_table_17,217,Superman Returns,"$200,081,192",2006,52535096,270000000,200081192,191000000,391081192,154.0,PG-13,6,2006-06-28,"['Action', 'Sci-Fi']"
Spectre,/title/tt2379713/?ref_=bo_cso_table_18,218,Spectre,"$200,074,609",2015,70403148,245000000,200074609,680600000,880674609,148.0,PG-13,10,2015-10-26,"['Action', 'Adventure', 'Thriller']"
Pearl Harbor,/title/tt0213149/?ref_=bo_cso_table_19,219,Pearl Harbor,"$198,542,554",2001,59078912,140000000,198542554,250678391,449220945,183.0,PG-13,5,2001-05-25,"['Action', 'Drama', 'History', 'Romance', 'War']"
Monsters vs. Aliens,/title/tt0892782/?ref_=bo_cso_table_20,220,Monsters vs. Aliens,"$198,351,526",2009,59321095,175000000,198351526,183158344,381509870,94.0,PG,3,2009-03-19,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi', 'Thriller']"
Happy Feet,/title/tt0366548/?ref_=bo_cso_table_21,221,Happy Feet,"$198,000,317",2006,41533432,100000000,198000317,186335791,384336108,108.0,PG,11,2006-11-17,"['Adventure', 'Animation', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']"
Indiana Jones and the Last Crusade,/title/tt0097576/?ref_=bo_cso_table_22,222,Indiana Jones and the Last Crusade,"$197,171,806",1989,29355021,48000000,197171806,277000000,474171806,127.0,PG-13,5,1989-05-24,"['Action', 'Adventure']"
Ice Age: Dawn of the Dinosaurs,/title/tt1080016/?ref_=bo_cso_table_23,223,Ice Age: Dawn of the Dinosaurs,"$196,573,705",2009,41690382,90000000,196573705,690113112,886686817,94.0,PG,6,2009-06-29,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Ice Age: The Meltdown,/title/tt0438097/?ref_=bo_cso_table_24,224,Ice Age: The Meltdown,"$195,330,621",2006,68033544,80000000,195330621,471763885,667094506,91.0,PG,3,2006-03-29,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Mission: Impossible - Rogue Nation,/title/tt2381249/?ref_=bo_cso_table_25,225,Mission: Impossible - Rogue Nation,"$195,042,377",2015,55520089,150000000,195042377,487674259,682716636,131.0,PG-13,7,2015-07-24,"['Action', 'Adventure', 'Thriller']"
Twilight,/title/tt1099212/?ref_=bo_cso_table_26,226,Twilight,"$193,962,473",2008,69637740,37000000,193962473,214467942,408430415,122.0,PG-13,11,2008-11-20,"['Drama', 'Fantasy', 'Romance']"
Men in Black II,/title/tt0120912/?ref_=bo_cso_table_27,227,Men in Black II,"$193,735,288",2002,52148751,140000000,193735288,251400000,445135288,88.0,PG-13,7,2002-07-03,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Sci-Fi']"
Madagascar,/title/tt0351283/?ref_=bo_cso_table_28,228,Madagascar,"$193,595,521",2005,47224594,0,193595521,348468325,542063846,86.0,PG,5,2005-05-27,"['Adventure', 'Animation', 'Comedy', 'Family']"
22 Jump Street,/title/tt2294449/?ref_=bo_cso_table_29,229,22 Jump Street,"$191,719,337",2014,57071445,50000000,191719337,139614539,331333876,112.0,R,6,2014-06-05,"['Action', 'Comedy', 'Crime']"
Cars 2,/title/tt1216475/?ref_=bo_cso_table_30,230,Cars 2,"$191,452,396",2011,66135507,200000000,191452396,368400000,559852396,106.0,G,6,2011-06-22,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi', 'Sport']"
Teenage Mutant Ninja Turtles,/title/tt1291150/?ref_=bo_cso_table_31,231,Teenage Mutant Ninja Turtles,"$191,204,754",2014,65575105,125000000,191204754,293800000,485004754,101.0,PG-13,8,2014-08-07,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
Spider-Man: Into the Spider-Verse,/title/tt4633694/?ref_=bo_cso_table_32,232,Spider-Man: Into the Spider-Verse,"$190,241,310",2018,35363376,90000000,190241310,185299521,375540831,117.0,PG,12,2018-12-12,"['Action', 'Adventure', 'Animation', 'Family', 'Sci-Fi']"
Grease,/title/tt0077631/?ref_=bo_cso_table_33,233,Grease,"$190,071,103",1978,8941717,6000000,190071103,206200000,394955690,110.0,PG,6,1978-06-16,"['Musical', 'Romance']"
Dunkirk,/title/tt5013056/?ref_=bo_cso_table_34,234,Dunkirk,"$189,740,665",2017,50513488,100000000,189740665,337208738,526949403,106.0,PG-13,7,2017-07-19,"['Action', 'Drama', 'History', 'Thriller', 'War']"
Wreck-It Ralph,/title/tt1772341/?ref_=bo_cso_table_35,235,Wreck-It Ralph,"$189,422,889",2012,49038712,165000000,189422889,281800000,471222889,101.0,PG,11,2012-11-01,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
A Quiet Place,/title/tt6644200/?ref_=bo_cso_table_36,236,A Quiet Place,"$188,024,361",2018,50203562,17000000,188024361,152928610,340952971,90.0,PG-13,4,2018-04-04,"['Drama', 'Horror', 'Sci-Fi']"
Interstellar,/title/tt0816692/?ref_=bo_cso_table_37,237,Interstellar,"$188,020,017",2014,47510360,165000000,188020017,513775554,701795571,169.0,PG-13,11,2014-11-05,"['Adventure', 'Drama', 'Sci-Fi']"
The Polar Express,/title/tt0338348/?ref_=bo_cso_table_38,238,The Polar Express,"$187,935,490",2004,23323463,165000000,187935490,126279964,314215454,100.0,,11,2004-11-10,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']"
Gladiator,/title/tt0172495/?ref_=bo_cso_table_39,239,Gladiator,"$187,705,427",2000,34819017,103000000,187705427,277658485,465363912,155.0,R,5,2000-05-04,"['Action', 'Adventure', 'Drama']"
The Croods,/title/tt0481499/?ref_=bo_cso_table_40,240,The Croods,"$187,168,425",2013,43639736,135000000,187168425,400036894,587205319,98.0,PG,3,2013-03-15,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Sherlock Holmes: A Game of Shadows,/title/tt1515091/?ref_=bo_cso_table_41,241,Sherlock Holmes: A Game of Shadows,"$186,848,418",2011,39637079,0,186848418,357000000,543848418,129.0,PG-13,12,2011-12-15,"['Action', 'Adventure', 'Mystery']"
The Day After Tomorrow,/title/tt0319262/?ref_=bo_cso_table_42,242,The Day After Tomorrow,"$186,740,799",2004,68743584,125000000,186740799,365898772,552639571,124.0,PG-13,5,2004-05-26,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Mr. & Mrs. Smith,/title/tt0356910/?ref_=bo_cso_table_43,243,Mr. & Mrs. Smith,"$186,336,279",2005,50342878,110000000,186336279,300951367,487287646,,PG-13,6,2005-06-08,"['Action', 'Comedy', 'Crime', 'Thriller']"
Snow White and the Seven Dwarfs,/title/tt0029583/?ref_=bo_cso_table_44,244,Snow White and the Seven Dwarfs,"$184,925,486",1937,1499000,0,184925486,184925486,0,83.0,Approved,12,1937-12-21,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']"
Pitch Perfect 2,/title/tt2848292/?ref_=bo_cso_table_45,245,Pitch Perfect 2,"$184,296,230",2015,69216890,29000000,184296230,102847849,287144079,115.0,PG-13,5,2015-05-07,"['Comedy', 'Music']"
Dances with Wolves,/title/tt0099348/?ref_=bo_cso_table_46,246,Dances with Wolves,"$184,208,848",1990,598257,22000000,184208848,240000000,424208848,181.0,,11,1990-11-09,"['Adventure', 'Drama', 'Western']"
Batman Forever,/title/tt0112462/?ref_=bo_cso_table_47,247,Batman Forever,"$184,069,126",1995,52784433,100000000,184069126,152498032,336529144,121.0,PG-13,6,1995-06-16,"['Action', 'Adventure']"
The Fugitive,/title/tt0106977/?ref_=bo_cso_table_48,248,The Fugitive,"$183,875,760",1993,23758855,0,183875760,185000000,368875760,130.0,PG-13,8,1993-08-06,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
The Revenant,/title/tt1663202/?ref_=bo_cso_table_49,249,The Revenant,"$183,637,894",2015,474560,135000000,183637894,349312609,532950503,156.0,R,12,2015-12-25,"['Action', 'Adventure', 'Drama', 'History', 'Western']"
Ocean's Eleven,/title/tt0240772/?ref_=bo_cso_table_50,250,Ocean's Eleven,"$183,417,150",2001,38107822,85000000,183417150,267300000,450717150,116.0,PG-13,12,2001-12-07,"['Crime', 'Thriller']"
The Simpsons Movie,/title/tt0462538/?ref_=bo_cso_table_51,251,The Simpsons Movie,"$183,135,014",2007,74036787,75000000,183135014,353279279,536414293,87.0,PG-13,7,2007-07-25,"['Adventure', 'Animation', 'Comedy']"
What Women Want,/title/tt0207201/?ref_=bo_cso_table_52,252,What Women Want,"$182,811,707",2000,33614543,70000000,182811707,191300000,374111707,127.0,PG-13,12,2000-12-15,"['Comedy', 'Fantasy', 'Romance']"
The Perfect Storm,/title/tt0177971/?ref_=bo_cso_table_53,253,The Perfect Storm,"$182,618,434",2000,41325042,140000000,182618434,146100000,328718434,130.0,PG-13,6,2000-06-30,"['Action', 'Adventure', 'Drama', 'Thriller']"
Lincoln,/title/tt0443272/?ref_=bo_cso_table_54,254,Lincoln,"$182,207,973",2012,944308,65000000,182207973,93085477,275293450,150.0,PG-13,11,2012-11-09,"['Biography', 'Drama', 'History', 'War']"
Liar Liar,/title/tt0119528/?ref_=bo_cso_table_55,255,Liar Liar,"$181,410,615",1997,31423025,0,181410615,121300000,302710615,86.0,PG-13,3,1997-03-21,"['Comedy', 'Fantasy']"
Jurassic Park III,/title/tt0163025/?ref_=bo_cso_table_56,256,Jurassic Park III,"$181,171,875",2001,50771645,93000000,181171875,187608934,368780809,92.0,PG-13,7,2001-07-05,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Thor,/title/tt0800369/?ref_=bo_cso_table_57,257,Thor,"$181,030,624",2011,65723338,150000000,181030624,268295994,449326618,115.0,PG-13,4,2011-04-21,"['Action', 'Adventure', 'Fantasy']"
Mission: Impossible,/title/tt0117060/?ref_=bo_cso_table_58,258,Mission: Impossible,"$180,981,856",1996,45436830,80000000,180981856,276714535,457696391,110.0,PG-13,5,1996-05-22,"['Action', 'Adventure', 'Thriller']"
Ant-Man,/title/tt0478970/?ref_=bo_cso_table_59,259,Ant-Man,"$180,202,163",2015,57225526,130000000,180202163,339109802,519311965,117.0,PG-13,7,2015-07-10,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
Planet of the Apes,/title/tt0133152/?ref_=bo_cso_table_60,260,Planet of the Apes,"$180,011,740",2001,68532960,100000000,180011740,182200000,362211740,119.0,PG-13,7,2001-07-27,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Madagascar: Escape 2 Africa,/title/tt0479952/?ref_=bo_cso_table_61,261,Madagascar: Escape 2 Africa,"$180,010,950",2008,63106589,150000000,180010950,423889404,603900354,89.0,PG,10,2008-10-30,"['Adventure', 'Animation', 'Comedy', 'Family']"
X-Men Origins: Wolverine,/title/tt0458525/?ref_=bo_cso_table_62,262,X-Men Origins: Wolverine,"$179,883,157",2009,85058003,150000000,179883157,193179707,373062864,107.0,PG-13,4,2009-04-29,"['Action', 'Adventure', 'Sci-Fi']"
Indiana Jones and the Temple of Doom,/title/tt0087469/?ref_=bo_cso_table_63,263,Indiana Jones and the Temple of Doom,"$179,870,271",1984,25337110,28000000,179870271,153237000,333107271,118.0,,5,1984-05-23,"['Action', 'Adventure']"
Top Gun,/title/tt0092099/?ref_=bo_cso_table_64,264,Top Gun,"$179,800,601",1986,8193052,0,179800601,177030000,356830601,110.0,,5,1986-05-16,"['Action', 'Drama']"
Hitch,/title/tt0386588/?ref_=bo_cso_table_65,265,Hitch,"$179,495,555",2005,43142214,70000000,179495555,192098655,371594210,118.0,PG-13,2,2005-02-11,"['Comedy', 'Romance']"
Men in Black 3,/title/tt1409024/?ref_=bo_cso_table_66,266,Men in Black 3,"$179,020,854",2012,54592779,225000000,179020854,445005922,624026776,106.0,PG-13,5,2012-05-23,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
Pretty Woman,/title/tt0100405/?ref_=bo_cso_table_67,267,Pretty Woman,"$178,406,268",1990,11280591,14000000,178406268,285000000,463406268,119.0,R,3,1990-03-23,"['Comedy', 'Romance']"
Home,/title/tt2224026/?ref_=bo_cso_table_68,268,Home,"$177,397,510",2015,52107731,135000000,177397510,208644097,386041607,94.0,PG,3,2015-03-19,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Night at the Museum: Battle of the Smithsonian,/title/tt1078912/?ref_=bo_cso_table_69,269,Night at the Museum: Battle of the Smithsonian,"$177,243,721",2009,54173286,150000000,177243721,235862449,413106170,105.0,PG,5,2009-05-20,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Tootsie,/title/tt0084805/?ref_=bo_cso_table_70,270,Tootsie,"$177,200,000",1982,5540470,21000000,177200000,177200000,0,116.0,,12,1982-12-17,"['Comedy', 'Drama', 'Romance']"
How to Train Your Dragon 2,/title/tt1646971/?ref_=bo_cso_table_71,271,How to Train Your Dragon 2,"$177,002,924",2014,49451322,145000000,177002924,444534595,621537519,102.0,PG,6,2014-06-05,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']"
Rise of the Planet of the Apes,/title/tt1318514/?ref_=bo_cso_table_72,272,Rise of the Planet of the Apes,"$176,760,185",2011,54806191,93000000,176760185,305040688,481800873,105.0,PG-13,8,2011-08-03,"['Action', 'Drama', 'Sci-Fi', 'Thriller']"
Captain America: The First Avenger,/title/tt0458339/?ref_=bo_cso_table_73,273,Captain America: The First Avenger,"$176,654,505",2011,65058524,140000000,176654505,193915269,370569774,124.0,PG-13,7,2011-07-22,"['Action', 'Adventure', 'Sci-Fi']"
Elf,/title/tt0319343/?ref_=bo_cso_table_74,274,Elf,"$176,630,408",2003,32100000,33000000,176630408,47223328,223853736,97.0,PG,11,2003-11-07,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']"
The Karate Kid,/title/tt1155076/?ref_=bo_cso_table_75,275,The Karate Kid,"$176,591,618",2010,55665805,40000000,176591618,182534404,359126022,140.0,PG,6,2010-06-10,"['Action', 'Drama', 'Family', 'Sport']"
There's Something About Mary,/title/tt0129387/?ref_=bo_cso_table_76,276,There's Something About Mary,"$176,484,651",1998,13740644,23000000,176484651,193400000,369884651,119.0,R,7,1998-07-15,"['Comedy', 'Romance']"
Ice Age,/title/tt0268380/?ref_=bo_cso_table_77,277,Ice Age,"$176,387,405",2002,46312454,59000000,176387405,206869731,383257136,81.0,PG,3,2002-03-14,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
The Bourne Supremacy,/title/tt0372183/?ref_=bo_cso_table_78,278,The Bourne Supremacy,"$176,241,941",2004,52521865,75000000,176241941,114593328,290835269,108.0,PG-13,7,2004-07-23,"['Action', 'Mystery', 'Thriller']"
Get Out,/title/tt5052448/?ref_=bo_cso_table_79,279,Get Out,"$176,040,665",2017,4500000,0,176040665,79405483,255446148,104.0,R,2,2016-02-18,"['Horror', 'Mystery', 'Thriller']"
The Lego Batman Movie,/title/tt4116284/?ref_=bo_cso_table_80,280,The Lego Batman Movie,"$175,750,384",2017,53003468,80000000,175750384,136200000,311950384,104.0,PG,2,2017-02-02,"['Action', 'Animation', 'Comedy', 'Family']"
Us,/title/tt6857112/?ref_=bo_cso_table_81,281,Us,"$175,084,580",2019,71117625,20000000,175084580,80100000,255184580,116.0,R,3,2019-03-20,"['Horror', 'Mystery', 'Thriller']"
The Boss Baby,/title/tt3874544/?ref_=bo_cso_table_82,282,The Boss Baby,"$175,003,033",2017,50198902,0,175003033,352962903,527965936,97.0,PG,3,2017-03-23,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Crocodile Dundee,/title/tt0090555/?ref_=bo_cso_table_83,283,Crocodile Dundee,"$174,803,506",1986,8038855,0,174803506,153400000,328203506,97.0,,9,1986-09-26,"['Action', 'Adventure', 'Comedy']"
Crazy Rich Asians,/title/tt3104988/?ref_=bo_cso_table_84,284,Crazy Rich Asians,"$174,532,921",2018,26510140,30000000,174532921,64005815,238538736,,PG-13,8,2018-08-15,"['Comedy', 'Drama', 'Romance']"
The Greatest Showman,/title/tt1485796/?ref_=bo_cso_table_85,285,The Greatest Showman,"$174,340,174",2017,8805843,84000000,174340174,260767970,435108144,105.0,PG,12,2017-12-20,"['Biography', 'Drama', 'Musical']"
Fast & Furious Presents: Hobbs & Shaw,/title/tt6806448/?ref_=bo_cso_table_86,286,Fast & Furious Presents: Hobbs & Shaw,"$173,956,935",2019,60038950,200000000,173956935,585100000,1104826325,137.0,,7,2019-07-01,"['Action', 'Adventure', 'Thriller']"
Apollo 13,/title/tt0112384/?ref_=bo_cso_table_87,287,Apollo 13,"$173,837,933",1995,25353380,0,173837933,181077570,355237933,140.0,PG,6,1995-06-30,"['Adventure', 'Drama', 'History']"
Home Alone 2: Lost in New York,/title/tt0104431/?ref_=bo_cso_table_88,288,Home Alone 2: Lost in New York,"$173,585,516",1992,31126882,0,173585516,185409334,358994850,,PG,11,1992-11-20,"['Adventure', 'Comedy', 'Crime', 'Family']"
National Treasure,/title/tt0368891/?ref_=bo_cso_table_89,289,National Treasure,"$173,008,894",2004,35142554,100000000,173008894,174503424,347512318,131.0,PG,11,2004-11-19,"['Action', 'Adventure', 'Mystery', 'Thriller']"
Air Force One,/title/tt0118571/?ref_=bo_cso_table_90,290,Air Force One,"$172,956,409",1997,37132505,85000000,172956409,142200000,315156409,124.0,R,7,1997-07-25,"['Action', 'Drama', 'Thriller']"
Rain Man,/title/tt0095953/?ref_=bo_cso_table_91,291,Rain Man,"$172,825,435",1988,7005719,25000000,172825435,182000000,354825435,133.0,,12,1988-12-16,['Drama']
Pirates of the Caribbean: Dead Men Tell No Tales,/title/tt1790809/?ref_=bo_cso_table_92,292,Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876",2017,62983253,230000000,172558876,622322566,794881442,129.0,PG-13,5,2017-05-24,"['Action', 'Adventure', 'Fantasy']"
TRON: Legacy,/title/tt1104001/?ref_=bo_cso_table_93,293,TRON: Legacy,"$172,062,763",2010,44026211,170000000,172062763,228000000,400062763,125.0,PG,12,2010-12-16,"['Action', 'Adventure', 'Sci-Fi']"
Mary Poppins Returns,/title/tt5028340/?ref_=bo_cso_table_94,294,Mary Poppins Returns,"$171,958,438",2018,23523121,130000000,171958438,177587704,349546142,130.0,PG,12,2018-12-19,"['Comedy', 'Family', 'Fantasy', 'Musical']"
The Matrix,/title/tt0133093/?ref_=bo_cso_table_95,295,The Matrix,"$171,479,930",1999,27788331,63000000,171479930,294884752,466364682,136.0,R,3,1999-03-31,"['Action', 'Sci-Fi']"
True Grit,/title/tt1403865/?ref_=bo_cso_table_96,296,True Grit,"$171,243,005",2010,24830443,38000000,171243005,81033922,252276927,110.0,PG-13,12,2010-12-22,"['Drama', 'Western']"
Tarzan,/title/tt0120855/?ref_=bo_cso_table_97,297,Tarzan,"$171,091,819",1999,34221968,130000000,171091819,277100000,448191819,88.0,G,6,1999-06-16,"['Adventure', 'Animation', 'Family']"
John Wick: Chapter 3 - Parabellum,/title/tt6146586/?ref_=bo_cso_table_98,298,John Wick: Chapter 3 - Parabellum,"$171,015,687",2019,56818067,75000000,171015687,156266092,327281779,130.0,R,5,2019-05-15,"['Action', 'Crime', 'Thriller']"
A Beautiful Mind,/title/tt0268978/?ref_=bo_cso_table_99,299,A Beautiful Mind,"$170,742,341",2001,367151,58000000,170742341,146048916,316791257,135.0,PG-13,12,2001-12-21,"['Biography', 'Drama']"
